contrast_order,contrast_type,shock,portfolio,reference_portfolio,comparison_shock,family,metric,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,reversal
52,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
53,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
54,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
55,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
56,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
58,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
60,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,unresolved_tab_share,1,128,-0.013258711725441779,0.0032866922607582196,-0.01970062855652789,-0.006816794894355669,0.0,-0.10749315966790449,-0.0038294749854504073,0.0,0.0,0.0,0.0078125,,,
61,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,backlog_area_share,1,128,-0.0620914190122034,0.01725268154123726,-0.09590667483302842,-0.02827616319137837,0.0,-0.37284087423608153,-0.012908092726186551,0.0,0.0,0.0,0.0078125,,,
62,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,liquidated_debt_share,1,128,-0.028483539632800696,0.006231532406686746,-0.040697343149906716,-0.016269736115694676,0.0,-0.22084034182140683,-0.005524978745927039,0.0,0.0,0.0,0.0,,,
63,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,debt_weighted_liquidated_vault_share,1,128,-0.028483539632800696,0.006231532406686746,-0.040697343149906716,-0.016269736115694676,0.0,-0.22084034182140683,-0.005524978745927039,0.0,0.0,0.0,0.0,,,
64,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,successful_closure_count,1,128,-10.0390625,1.805619316225522,-13.578076359802022,-6.500048640197977,0.0,-50.65,-11.25,0.0,0.0,0.0,0.0,,,
65,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,capacity_rejected_opportunities,1,128,-0.0234375,0.023437499999999997,-0.06937499999999999,0.022499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
66,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
67,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
68,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
69,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
70,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,empirical_crypto,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
72,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
74,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,unresolved_tab_share,1,128,-0.005300376735556502,0.0021281942640870195,-0.00947163749316706,-0.0011291159779459438,0.0,-0.02972611807593431,0.0,0.0,0.0,0.0,0.0078125,,,
75,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,backlog_area_share,1,128,-0.027638496342082458,0.010932917405567967,-0.04906701445699567,-0.006209978227169243,0.0,-0.11734325080227366,0.0,0.0,0.0,0.0,0.0,,,
76,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,liquidated_debt_share,1,128,-0.006830216327688076,0.0023265577186309294,-0.011390269456204697,-0.002270163199171455,0.0,-0.04129176162505703,0.0,0.0,0.0,0.0,0.0,,,
77,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,debt_weighted_liquidated_vault_share,1,128,-0.006830216327688076,0.00232655771863093,-0.011390269456204699,-0.002270163199171454,0.0,-0.04129176162505703,0.0,0.0,0.0,0.0,0.0,,,
78,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,successful_closure_count,1,128,-3.2734375,0.951888588703472,-5.139139133858805,-1.407735866141195,0.0,-16.9,0.0,0.0,0.0,0.0,0.0,,,
79,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,capacity_rejected_opportunities,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
80,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
81,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
82,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
83,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
84,raw_portfolio_contrast,stable_depeg_moderate,stable_heavy,stable_supported,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
