interaction_cell,candidate_index,moment,additive_prediction,actual_result,interaction_residual,paired_mcse,analytic_mcse,replication_index_mcse,mcse_agreement_pass,snr,empirical_scale,additive_band_gap,actual_band_gap,band_gap_reduction,band_gap_reduction_scales,direction,large_residual,precise_residual,large_and_precise
110,171,maximum_downside_deviation_mean,-1.5767073986281328e-06,0,1.5767073986281328e-06,3.7633056910979859e-07,3.7633056910979859e-07,3.5488278256277721e-07,True,4.1896872804082816,0.00054365875714980003,-0.0021488661750788279,-0.0021472894676801998,1.5767073986280508e-06,0.0029001784260666366,towards_band,False,True,False
110,171,recovery_completion_hours_mean,73.743982263513516,73.727723817567565,-0.016258445945945946,0.023382315004358899,0.023382315004358899,0.02304447004372628,True,0.69533089186913566,9.5394282938200003,5.7056662163735155,5.6894077704275645,0.016258445945950939,0.0017043417535287488,towards_band,False,False,False
110,193,failed_recovery_attempts_mean,-0.048669763513513514,0,0.048669763513513514,0.0046280741117787263,0.0044187457146793365,0.0046280741117787263,True,10.516202277237966,1.2984694187000001,-0.57335254773351341,-0.52468278421999992,0.048669763513513487,0.037482410299844116,towards_band,False,True,False
110,193,first_six_hour_burden_mean,-0.00010496301846149618,0,0.00010496301846149618,4.5469355035297508e-05,4.5469355035297508e-05,4.4792457368486482e-05,True,2.3084342933831854,0.024570982533,-0.077666076030461398,-0.077561113011999902,0.00010496301846149581,0.0042718282966717133,towards_band,False,True,False
110,193,initial_gap_q4_q1_burden_contrast,0.00020443802718018991,0,-0.00020443802718018991,0.00013603978530425583,0.00013603978530425583,0.00013538292013421394,True,1.5027811659872881,0.071927000000000005,-0.45500720524781973,-0.45521164327499991,-0.00020443802718017601,-0.0028422988193609632,away_from_band,False,False,False
110,193,maximum_downside_deviation_mean,-0.018719028193523408,0,0.018719028193523408,0.00080693372345622182,0.00077436257870867897,0.00080693372345622182,True,23.197726962441127,0.00054365875714980003,-0.020866317661203608,-0.0021472894676801998,0.018719028193523408,34.431576696493011,towards_band,True,True,True
110,193,recovery_completion_hours_mean,56.730363175675677,73.727723817567565,16.997360641891891,0.96847243486295742,0.95611901999960691,0.96847243486295742,True,17.550691201961865,9.5394282938200003,0,5.6894077704275645,-5.6894077704275645,-0.59640972133658954,away_from_band,True,True,True
110,203,failed_recovery_attempts_mean,0.025971283783783782,0.027027027027027029,0.0010557432432432433,0.00096687878024766792,0.00094595693083717011,0.00096687878024766792,True,1.0919085875199501,1.2984694187000001,-0.49871150043621615,-0.49765575719297289,0.0010557432432432567,0.00081306746854326723,towards_band,False,False,False
110,203,first_six_hour_burden_mean,0.067266528550062474,0.067567567567567571,0.0003010390175050932,6.0211789110854029e-05,5.8746384661628955e-05,6.0211789110854029e-05,True,4.9996690340966241,0.024570982533,-0.010294584461937428,-0.0099935454444323307,0.00030103901750509754,0.012251810325484046,towards_band,False,True,False
110,203,initial_gap_q4_q1_burden_contrast,0.052947942941530726,0.052631578947368418,-0.00031636399416230527,0.00017311188218399086,0.00017116313146027171,0.00017311188218399086,True,1.8275117234648273,0.071927000000000005,-0.4022637003334692,-0.40258006432763149,-0.00031636399416229422,-0.0043984038561638078,away_from_band,False,False,False
110,203,maximum_downside_deviation_mean,0.057223943693720379,0.060202702702702705,0.0029787590089823232,0.00048505000592530522,0.00048505000592530522,0.00046812977012255613,True,6.1411379705065592,0.00054365875714980003,0.052902019197440676,0.055880778206423003,-0.0029787590089823263,-5.4790968963672144,away_from_band,True,True,True
110,203,recovery_completion_hours_mean,145.63840793918919,145.3034206081081,-0.33498733108108109,0.67565164507476971,0.67382577492188156,0.67565164507476971,True,0.49579888323073695,9.5394282938200003,77.600091892049193,77.265104560968098,0.33498733108109491,0.035116080415229102,towards_band,False,False,False
110,222,failed_recovery_attempts_mean,0.011507601351351352,0.013513513513513514,0.0020059121621621621,0.0010285846941118218,0.00096474333426895952,0.0010285846941118218,True,1.9501672284694633,1.2984694187000001,-0.5131751828686486,-0.51116927070648643,0.0020059121621621712,0.0015448281902321948,towards_band,False,False,False
110,222,first_six_hour_burden_mean,0.26764821696722779,0.27027027027027029,0.0026220533030424805,0.00049967215205326597,0.00045570024076059084,0.00049967215205326597,True,5.2475474013668162,0.024570982533,0.09180317382322789,0.094425227126270384,-0.0026220533030424931,-0.10671340877479973,away_from_band,False,True,False
110,222,initial_gap_q4_q1_burden_contrast,-3.973832847392611e-06,0,3.9738328474141866e-06,0.00065673440246977102,0.00065229246316136176,0.00065673440246977102,True,0.0060508979466735021,0.071927000000000005,-0.4552156171078473,-0.45521164327499991,3.973832847392611e-06,5.5248138354061908e-05,towards_band,False,False,False
110,222,maximum_downside_deviation_mean,0.13827808277027026,0.14047297297297295,0.0021948902027027024,0.00037074903749819712,0.00037074903749819712,0.00034887501218964833,True,5.9201507777707336,0.00054365875714980003,0.13395615827399057,0.13615104847669326,-0.0021948902027026929,-4.0372571467618457,away_from_band,True,True,True
110,222,recovery_completion_hours_mean,257.88978040540542,256.61423141891891,-1.2755489864864864,0.53934044193839081,0.53934044193839081,0.52264404477524085,True,2.3650163928040708,9.5394282938200003,189.85146435826542,188.5759153717789,1.2755489864865126,0.1337133575722626,towards_band,False,True,False
110,252,failed_recovery_attempts_mean,-0.011296452702702704,0,0.011296452702702704,0.0013656068872049661,0.0013656068872049661,0.0013637418742210154,True,8.2721116952064708,1.2984694187000001,-0.53597923692270266,-0.52468278421999992,0.011296452702702742,0.0086998219134128783,towards_band,False,True,False
110,252,first_six_hour_burden_mean,0.11359775253808344,0.12162162162162163,0.0080238690835381932,0.00086215753140746079,0.00081430110468919451,0.00086215753140746079,True,9.306731996459316,0.024570982533,0,0,0,0,unchanged,False,True,False
110,252,initial_gap_q4_q1_burden_contrast,0.057053421133059154,0.052631578947368418,-0.0044218421856907272,0.0016179972092683207,0.0015422490279081032,0.0016179972092683207,True,2.7329108853595252,0.071927000000000005,-0.39815822214194074,-0.40258006432763149,-0.0044218421856907497,-0.061476805451231797,away_from_band,False,True,False
110,252,maximum_downside_deviation_mean,0.052834153655946868,0.061195629222972968,0.0083614755670261033,0.00083943342108896567,0.00082290081700294696,0.00083943342108896567,True,9.9608561643627116,0.00054365875714980003,0.048512229159667165,0.056873704726693265,-0.0083614755670260998,-15.380007140622908,away_from_band,True,True,True
110,252,recovery_completion_hours_mean,140.80637668918919,148.4270481418919,7.6206714527027026,1.1608560569322794,1.1271944871055066,1.1608560569322794,True,6.5646997379170049,9.5394282938200003,72.768060642049193,80.388732094751902,-7.6206714527027088,-0.79886039477225967,away_from_band,True,True,True
111,0,failed_recovery_attempts_mean,-0.038429054054054057,0,0.038429054054054057,0.0043533844432714405,0.0043533844432714405,0.0043479782643136271,True,8.8273972939490157,1.2984694187000001,-0.56311183827405398,-0.52468278421999992,0.038429054054054057,0.029595655854974548,towards_band,False,True,False
111,0,first_six_hour_burden_mean,0,0,0,0,0,0,True,0,0.024570982533,-0.077561113011999902,-0.077561113011999902,0,0,unchanged,False,False,False
111,0,initial_gap_q4_q1_burden_contrast,0,0,0,0,0,0,True,0,0.071927000000000005,-0.45521164327499991,-0.45521164327499991,0,0,unchanged,False,False,False
111,0,maximum_downside_deviation_mean,-0.013013914831379125,0,0.013013914831379125,0.00045471441437756194,0.00045471441437756194,0.000452966244121258,True,28.619974251736195,0.00054365875714980003,-0.015161204299059325,-0.0021472894676801998,0.013013914831379125,23.937653280168288,towards_band,True,True,True
111,0,recovery_completion_hours_mean,55.743876689189186,72.959459459459453,17.21558277027027,0.45763584127597817,0.44291642398645636,0.45763584127597817,True,37.618519393651205,9.5394282938200003,0,4.9211434123194522,-4.9211434123194522,-0.5158740399052586,away_from_band,True,True,True
111,36,failed_recovery_attempts_mean,-0.026499155405405407,0,0.026499155405405407,0.0042133710034686659,0.0042133710034686659,0.0041953564535818447,True,6.2893002737214276,1.2984694187000001,-0.55118193962540529,-0.52468278421999992,0.026499155405405372,0.02040799346043572,towards_band,False,True,False
111,36,first_six_hour_burden_mean,-2.2441955011104371e-05,0,2.2441955011104371e-05,2.1683502914156499e-05,2.1683502914156499e-05,2.1677425552409676e-05,True,1.0349783012436014,0.024570982533,-0.077583554967011012,-0.077561113011999902,2.2441955011109904e-05,0.00091335195818764226,towards_band,False,False,False
111,36,initial_gap_q4_q1_burden_contrast,0,0,0,0,0,0,True,0,0.071927000000000005,-0.45521164327499991,-0.45521164327499991,0,0,unchanged,False,False,False
