candidate_index,moment,effect,effect_estimate,paired_mcse,analytic_mcse,replication_index_mcse,relative_disagreement,agreement_pass,snr,sign,prefix_32_estimate,prefix_32_sign,prefix_sign_stable,dominant_event,dominant_event_share,effective_event_count
97,maximum_downside_deviation_mean,AB,3.9194467905405405e-05,2.262893659592996e-05,2.262893659592996e-05,2.2450048915792464e-05,0.0079052623343189056,True,1.7320508075688772,1,0,0,False,calibration__20200511T090000Z,0.33333333333333337,3
97,maximum_downside_deviation_mean,ABC,-3.9194467905405405e-05,2.262893659592996e-05,2.262893659592996e-05,2.2450048915792464e-05,0.0079052623343189056,True,1.7320508075688772,-1,0,0,False,calibration__20200511T090000Z,0.33333333333333337,3
97,maximum_downside_deviation_mean,AC,3.9194467905405405e-05,2.262893659592996e-05,2.262893659592996e-05,2.2450048915792464e-05,0.0079052623343189056,True,1.7320508075688772,1,0,0,False,calibration__20200511T090000Z,0.33333333333333337,3
97,maximum_downside_deviation_mean,B,-0.33624934016047298,0.0004887185381873319,0.00048339565715094538,0.0004887185381873319,0.010891506297529057,True,688.0224789663788,-1,-0.33634079391891891,-1,True,calibration__20210218T110000Z,0.21460822151028705,9.2584414966898123
97,maximum_downside_deviation_mean,BC,6.5324113175675673e-05,3.4488419553796313e-05,3.4488419553796313e-05,3.4214542346630104e-05,0.0079411353349782936,True,1.8940883351810514,1,0,0,False,calibration__20200509T220000Z,0.71299435028248581,1.8196803579767626
97,maximum_downside_deviation_mean,C,-6.532411317566704e-05,3.4488419553796313e-05,3.4488419553796313e-05,3.4214542346630104e-05,0.0079411353349782936,True,1.8940883351808009,-1,8.6267329616143917e-18,1,False,calibration__20200509T220000Z,0.71299435028248581,1.8196803579767626
97,recovery_completion_hours_mean,A,-1.1285631334459461,0.055443477605622821,0.054391465095752475,0.055443477605622821,0.018974504401644082,True,20.355201047697133,-1,-1.0332559121621621,-1,True,calibration__20210920T030000Z,0.30047076206497542,5.2938027234652854
97,recovery_completion_hours_mean,AB,-1.0190825591216217,0.054139384543395917,0.054139384543395917,0.049096760915897958,0.093141502623769176,True,18.823312597962151,-1,-1.0332559121621621,-1,True,calibration__20210920T030000Z,0.30327534401325384,5.2640114246982863
97,recovery_completion_hours_mean,ABC,1.0190825591216217,0.054139384543395917,0.054139384543395917,0.049096760915897958,0.093141502623769176,True,18.823312597962151,1,1.0332559121621621,1,True,calibration__20210920T030000Z,0.30327534401325384,5.2640114246982863
97,recovery_completion_hours_mean,AC,1.1285631334459461,0.055443477605622821,0.054391465095752475,0.055443477605622821,0.018974504401644082,True,20.355201047697133,1,1.0332559121621621,1,True,calibration__20210920T030000Z,0.30047076206497542,5.2938027234652854
97,recovery_completion_hours_mean,B,-459.99110536317568,0.68614714936191135,0.67803870093869456,0.68614714936191135,0.011817360796087703,True,670.39716741656434,-1,-460.1158150337838,-1,True,calibration__20210218T110000Z,0.21503150239388266,9.2580824419411361
97,recovery_completion_hours_mean,BC,-1.1273490287162162,0.065043834991549671,0.065043834991549671,0.0586936492263435,0.097629325915840767,True,17.332142682894982,-1,-1.2089315878378379,-1,True,calibration__20200509T220000Z,0.38757036271052453,4.1972100755965833
97,recovery_completion_hours_mean,C,-1.3102037584459461,0.06803129749305617,0.066452583137601481,0.06803129749305617,0.023205706985315471,True,19.258838310112726,-1,-1.2089315878378379,-1,True,calibration__20200509T220000Z,0.41171727301575434,3.9910531303784063
100,failed_recovery_attempts_mean,A,-0.0023490287162162161,0.00038234306162332547,0.00038234306162332547,0.0003813374987793358,0.0026300015481393155,True,6.1437723133849325,-1,-0.0017947635135135136,-1,True,calibration__20210616T110000Z,0.34580315935612171,4.4865109932644405
100,failed_recovery_attempts_mean,AB,0.0023490287162162161,0.00038234306162332547,0.00038234306162332547,0.0003813374987793358,0.0026300015481393155,True,6.1437723133849325,1,0.0017947635135135136,1,True,calibration__20210616T110000Z,0.34580315935612171,4.4865109932644405
100,failed_recovery_attempts_mean,ABC,-0.0023490287162162161,0.00038234306162332547,0.00038234306162332547,0.0003813374987793358,0.0026300015481393155,True,6.1437723133849325,-1,-0.0017947635135135136,-1,True,calibration__20210616T110000Z,0.34580315935612171,4.4865109932644405
100,failed_recovery_attempts_mean,AC,0.0023490287162162161,0.00038234306162332547,0.00038234306162332547,0.0003813374987793358,0.0026300015481393155,True,6.1437723133849325,1,0.0017947635135135136,1,True,calibration__20210616T110000Z,0.34580315935612171,4.4865109932644405
100,failed_recovery_attempts_mean,B,-0.1298828125,0.0060844386500456668,0.0055747140387541706,0.0060844386500456668,0.083775125464971276,True,21.346720703482674,-1,-0.10990287162162163,-1,True,calibration__20201206T020000Z,0.095146869318315203,39.607336836325935
100,failed_recovery_attempts_mean,BC,0.0030880489864864866,0.00054177379184640892,0.00048738875930688836,0.00054177379184640892,0.10038328423782178,True,5.6998862495030735,1,0.002639358108108108,1,True,calibration__20210616T110000Z,0.45064308310434797,3.5883044783554836
100,failed_recovery_attempts_mean,C,-0.0030880489864864866,0.00054177379184640892,0.00048738875930688836,0.00054177379184640892,0.10038328423782178,True,5.6998862495030735,-1,-0.002639358108108108,-1,True,calibration__20210616T110000Z,0.45064308310434797,3.5883044783554836
100,first_six_hour_burden_mean,A,-2.6677228610751596e-08,1.947131145373212e-08,1.947131145373212e-08,1.9418237067374352e-08,0.00272577358150136,True,1.3700786757041112,-1,-3.1321605778074596e-08,-1,True,calibration__20210624T020000Z,0.94449361788188113,1.1180686777599289
100,first_six_hour_burden_mean,AB,2.6677228610751596e-08,1.947131145373212e-08,1.947131145373212e-08,1.9418237067374352e-08,0.00272577358150136,True,1.3700786757041112,1,3.1321605778074596e-08,1,True,calibration__20210624T020000Z,0.94449361788188113,1.1180686777599289
100,first_six_hour_burden_mean,ABC,-2.6677228610751596e-08,1.947131145373212e-08,1.947131145373212e-08,1.9418237067374352e-08,0.00272577358150136,True,1.3700786757041112,-1,-3.1321605778074596e-08,-1,True,calibration__20210624T020000Z,0.94449361788188113,1.1180686777599289
100,first_six_hour_burden_mean,AC,2.6677228610751596e-08,1.947131145373212e-08,1.947131145373212e-08,1.9418237067374352e-08,0.00272577358150136,True,1.3700786757041112,1,3.1321605778074596e-08,1,True,calibration__20210624T020000Z,0.94449361788188113,1.1180686777599289
100,first_six_hour_burden_mean,B,-0.0020784672749545666,0.00024367588886968394,0.00024367588886968394,0.00023079731157212713,0.052851258108856963,True,8.5296386302139044,-1,-0.0022130258278680284,-1,True,calibration__20210218T110000Z,0.10212198413965216,21.517567420970284
100,first_six_hour_burden_mean,BC,2.6677228610751711e-08,1.947131145373213e-08,1.947131145373213e-08,1.9418237067374375e-08,0.0027257735815006791,True,1.3700786757041166,1,3.1321605778075053e-08,1,True,calibration__20210624T020000Z,0.94449361788188035,1.1180686777599307
100,first_six_hour_burden_mean,C,-2.6677228610751711e-08,1.947131145373213e-08,1.947131145373213e-08,1.9418237067374375e-08,0.0027257735815006791,True,1.3700786757041166,-1,-3.1321605778075053e-08,-1,True,calibration__20210624T020000Z,0.94449361788188035,1.1180686777599307
100,initial_gap_q4_q1_burden_contrast,A,2.3279042057117612e-08,1.7866718007476151e-08,1.7866718007476151e-08,1.7817578814903534e-08,0.0027503200393074489,True,1.3029277143892195,1,9.3116168228470447e-08,1,True,calibration__20210306T130000Z,0.858233673075396,1.321592780518311
100,initial_gap_q4_q1_burden_contrast,AB,-2.3279042057117612e-08,1.7866718007476151e-08,1.7866718007476151e-08,1.7817578814903534e-08,0.0027503200393074489,True,1.3029277143892195,-1,-9.3116168228470447e-08,-1,True,calibration__20210306T130000Z,0.858233673075396,1.321592780518311
100,initial_gap_q4_q1_burden_contrast,ABC,2.3279042057117612e-08,1.7866718007476151e-08,1.7866718007476151e-08,1.7817578814903534e-08,0.0027503200393074489,True,1.3029277143892195,1,9.3116168228470447e-08,1,True,calibration__20210306T130000Z,0.858233673075396,1.321592780518311
100,initial_gap_q4_q1_burden_contrast,AC,-2.3279042057117612e-08,1.7866718007476151e-08,1.7866718007476151e-08,1.7817578814903534e-08,0.0027503200393074489,True,1.3029277143892195,-1,-9.3116168228470447e-08,-1,True,calibration__20210306T130000Z,0.858233673075396,1.321592780518311
100,initial_gap_q4_q1_burden_contrast,B,-0.00040609440739676613,0.00080209337263745619,0.00075915015478425984,0.00080209337263745619,0.053538926162660809,True,0.50629318387389244,-1,-0.0027509464214425933,-1,True,calibration__20210218T110000Z,0.1596045359385744,11.842434255890744
100,initial_gap_q4_q1_burden_contrast,BC,-2.3279042057117969e-08,1.7866718007476283e-08,1.7866718007476283e-08,1.7817578814903686e-08,0.0027503200393063174,True,1.3029277143892299,-1,-9.3116168228471876e-08,-1,True,calibration__20210306T130000Z,0.85823367307538334,1.3215927805183427
100,initial_gap_q4_q1_burden_contrast,C,2.3279042057117969e-08,1.7866718007476283e-08,1.7866718007476283e-08,1.7817578814903686e-08,0.0027503200393063174,True,1.3029277143892299,1,9.3116168228471876e-08,1,True,calibration__20210306T130000Z,0.85823367307538334,1.3215927805183427
100,maximum_downside_deviation_mean,A,-4.2253349737318252e-06,4.7538657015696814e-07,4.7088829571661244e-07,4.7538657015696814e-07,0.0094623506904505505,True,8.8882085422326078,-1,-4.5921939194082685e-06,-1,True,calibration__20210616T110000Z,0.36194881804282486,4.3636627136908253
100,maximum_downside_deviation_mean,AB,4.2253349737318252e-06,4.7538657015696814e-07,4.7088829571661244e-07,4.7538657015696814e-07,0.0094623506904505505,True,8.8882085422326078,1,4.5921939194082685e-06,1,True,calibration__20210616T110000Z,0.36194881804282486,4.3636627136908253
100,maximum_downside_deviation_mean,ABC,-4.2253349737318252e-06,4.7538657015696814e-07,4.7088829571661244e-07,4.7538657015696814e-07,0.0094623506904505505,True,8.8882085422326078,-1,-4.5921939194082685e-06,-1,True,calibration__20210616T110000Z,0.36194881804282486,4.3636627136908253
100,maximum_downside_deviation_mean,AC,4.2253349737318252e-06,4.7538657015696814e-07,4.7088829571661244e-07,4.7538657015696814e-07,0.0094623506904505505,True,8.8882085422326078,1,4.5921939194082685e-06,1,True,calibration__20210616T110000Z,0.36194881804282486,4.3636627136908253
100,maximum_downside_deviation_mean,B,-0.00017026170120469557,6.0987397356466304e-06,6.0976868884074135e-06,6.0987397356466304e-06,0.00017263357428800452,True,27.91752207583642,-1,-0.00016358015782565199,-1,True,calibration__20201206T020000Z,0.05898976898058849,50.791504708010677
100,maximum_downside_deviation_mean,BC,5.3235991407771798e-06,5.9767476604982339e-07,5.7735236109105176e-07,5.9767476604982339e-07,0.034002447674154453,True,8.9071840458685081,1,5.6565626903502296e-06,1,True,calibration__20210616T110000Z,0.41074238046414452,3.8329659802494764
100,maximum_downside_deviation_mean,C,-5.3235991407771798e-06,5.9767476604982339e-07,5.7735236109105176e-07,5.9767476604982339e-07,0.034002447674154453,True,8.9071840458685081,-1,-5.6565626903502296e-06,-1,True,calibration__20210616T110000Z,0.41074238046414452,3.8329659802494764
100,recovery_completion_hours_mean,A,-4.6720861486486482,0.1261258253693277,0.12285152157199404,0.1261258253693277,0.025960613440948275,True,37.043057081827776,-1,-4.4977829391891895,-1,True,calibration__20210920T030000Z,0.23343965811844622,6.5570638232242855
100,recovery_completion_hours_mean,AB,0.012563344594594595,0.015764837645823787,0.015056819669006969,0.015764837645823787,0.044911212707882037,True,0.79692191425280612,1,0.01488597972972973,1,True,calibration__20210616T110000Z,0.4170044657760858,3.9080507394732975
100,recovery_completion_hours_mean,ABC,-0.012563344594594595,0.015764837645823787,0.015056819669006969,0.015764837645823787,0.044911212707882037,True,0.79692191425280612,-1,-0.01488597972972973,-1,True,calibration__20210616T110000Z,0.4170044657760858,3.9080507394732975
100,recovery_completion_hours_mean,AC,4.6720861486486482,0.1261258253693277,0.12285152157199404,0.1261258253693277,0.025960613440948275,True,37.043057081827776,1,4.4977829391891895,1,True,calibration__20210920T030000Z,0.23343965811844622,6.5570638232242855
100,recovery_completion_hours_mean,B,-0.98004645270270274,0.053827772915086197,0.052071358668412726,0.053827772915086197,0.032630260394466454,True,18.207077863851715,-1,-0.86602618243243246,-1,True,calibration__20210707T220000Z,0.067285244867908114,43.413510612984823
100,recovery_completion_hours_mean,BC,0.056165540540540543,0.014271547340250863,0.014271547340250863,0.013523225770746173,0.052434508442834045,True,3.9354906094963962,1,0.031566722972972971,1,True,calibration__20210616T110000Z,0.27085045128370688,4.9838268877379814
100,recovery_completion_hours_mean,C,-5.4839527027027026,0.12834513325615146,0.12515902943863771,0.12834513325615146,0.024824500444087075,True,42.728170235779956,-1,-5.4021326013513518,-1,True,calibration__20210920T030000Z,0.24479182052987147,6.3526077143850381
