candidate_index,event_set,replication_count,moment,event_count,point_estimate,analytic_mcse,replication_index_mcse,diagnostic_mcse,relative_disagreement,agreement_pass,threshold,pass,dominant_event,dominant_event_mc_variance_share,effective_event_count,right_censoring_share,convergence_slope,convergence_classification,projected_required_replications
42,search_32,256,maximum_downside_deviation_mean,32,0.48515075683593756,0.00074574502784840123,0.00070400757655237288,0.00074574502784840123,0.055967455011329888,True,5.4365875714999998e-05,False,calibration__20210308T080000Z,0.21788831389511079,9.9256079793393184,0.9801025390625,-0.54107938270783151,regular_convergence,>8192
42,search_32,256,recovery_completion_hours_mean,32,729.245361328125,1.0413188573944048,0.98235141104559642,1.0413188573944048,0.056627656293824449,True,0.95394282938200003,False,calibration__20210308T080000Z,0.21966241184991334,9.8419306764118897,0.9801025390625,-0.54210536499736184,regular_convergence,512
42,search_32,256,failed_recovery_attempts_mean,32,0.2174072265625,0.0040646973733046259,0.0043562206094650575,0.0043562206094650575,0.066921136989026506,True,0.12984694187000001,True,calibration__20200611T160000Z,0.057662175975213344,22.048617516285649,0.9801025390625,-0.49045253074134276,regular_convergence,1
42,search_32,256,initial_gap_q4_q1_burden_contrast,32,-0.044385752933976064,0.010393587303571985,0.010571124335286682,0.010571124335286682,0.016794526871855429,True,0.0071927000000000007,False,calibration__20210314T050000Z,0.13769669841919135,9.6051137833330227,0.9801025390625,-0.48983391954264133,regular_convergence,1024
42,search_32,256,eth_recovery_q4_q1_duration_contrast,32,-15.0576171875,3.1221678627100333,3.1055945281970518,3.1221678627100333,0.0053082778510812915,True,0.75324999999999998,False,calibration__20210308T080000Z,0.39095853490467203,4.161179382513728,0.9801025390625,-0.51024212993775409,regular_convergence,8192
42,all_74,32,ordinary_below_mean,74,0.000353255329457,0,0,0,0,True,1.3559e-05,True,,0,74,0.97635135135135132,,faster_than_expected_or_floor_effect,
42,all_74,32,ordinary_above_mean,74,-9.5134546050499997e-05,0,0,0,0,True,2.8830000000000002e-06,True,,0,74,0.97635135135135132,,faster_than_expected_or_floor_effect,
42,all_74,32,first_six_hour_burden_mean,74,0.73086896901435539,0.0072725481821438375,0.0090774321779979461,0.0090774321779979461,0.19883200011439589,False,0.0024570982533000003,False,calibration__20210314T050000Z,0.027844643437513351,47.73846397153045,0.97635135135135132,-0.5693760822409214,regular_convergence,512
42,all_74,32,maximum_downside_deviation_mean,74,0.48329391891891882,0.0014942396027266668,0.0013092103845375397,0.0014942396027266668,0.12382834576963993,True,5.4365875714999998e-05,False,calibration__20210218T110000Z,0.11047979797979801,16.287917737789201,0.97635135135135132,-0.49303918058607754,regular_convergence,>8192
42,all_74,32,recovery_completion_hours_mean,74,726.62373310810813,2.0899434943624344,1.8297976145040307,2.0899434943624344,0.12447507818280264,True,0.95394282938200003,False,calibration__20210218T110000Z,0.11133032563623471,16.183171831727304,0.97635135135135132,-0.49407456690177359,regular_convergence,256
42,all_74,32,failed_recovery_attempts_mean,74,0.20988175675675674,0.0072094400279102662,0.0084073743259417567,0.0084073743259417567,0.14248613795333814,True,0.12984694187000001,True,calibration__20210302T170000Z,0.028334255672385168,45.709525726691048,0.97635135135135132,-0.54711124152669377,regular_convergence,1
42,all_74,32,initial_gap_q4_q1_burden_contrast,74,-0.0086111061899925012,0.020480906550522048,0.024451465411066235,0.024451465411066235,0.16238531285520388,False,0.0071927000000000007,False,calibration__20210314T050000Z,0.053256517118398669,24.29384419397644,0.97635135135135132,-0.57241475591333379,regular_convergence,512
42,all_74,32,eth_recovery_q4_q1_duration_contrast,74,-18.327302631578959,5.803866962603613,5.1739709611636098,5.803866962603613,0.10853039973153211,True,0.75324999999999998,False,calibration__20201119T090000Z,0.19520478417531018,8.9581977088933442,0.97635135135135132,-0.47435986138503206,regular_convergence,4096
42,all_74,64,ordinary_below_mean,74,0.000353255329457,0,0,0,0,True,1.3559e-05,True,,0,74,0.9755067567567568,,faster_than_expected_or_floor_effect,
42,all_74,64,ordinary_above_mean,74,-9.5134546050499997e-05,0,0,0,0,True,2.8830000000000002e-06,True,,0,74,0.9755067567567568,,faster_than_expected_or_floor_effect,
42,all_74,64,first_six_hour_burden_mean,74,0.73134990331281524,0.0052142846967817586,0.0056486420029856904,0.0056486420029856904,0.076895881518840192,True,0.0024570982533000003,False,calibration__20210409T070000Z,0.02604245194019093,49.09378269395966,0.9755067567567568,-0.5693760822409214,regular_convergence,512
42,all_74,64,maximum_downside_deviation_mean,74,0.48287584459459454,0.0010723720577348137,0.00097550675675675612,0.0010723720577348137,0.090328072500012263,True,5.4365875714999998e-05,False,calibration__20210409T070000Z,0.099969843184559731,18.060960646760375,0.9755067567567568,-0.49303918058607754,regular_convergence,>8192
42,all_74,64,recovery_completion_hours_mean,74,726.04539695945948,1.4993369956988412,1.3635448500346299,1.4993369956988412,0.090568128481961815,True,0.95394282938200003,False,calibration__20210409T070000Z,0.10081396278341499,17.922245822870625,0.9755067567567568,-0.49407456690177359,regular_convergence,256
42,all_74,64,failed_recovery_attempts_mean,74,0.20713682432432431,0.0051871618507987605,0.0056631516395211703,0.0056631516395211703,0.084050334340447869,True,0.12984694187000001,True,calibration__20200509T220000Z,0.026906183424949371,47.566792367774866,0.9755067567567568,-0.54711124152669377,regular_convergence,1
42,all_74,64,initial_gap_q4_q1_burden_contrast,74,-0.00282228398320028,0.014773035179006345,0.016350930289626107,0.016350930289626107,0.096501855409466361,True,0.0071927000000000007,False,calibration__20210314T050000Z,0.049080520807152882,25.383590848750249,0.9755067567567568,-0.57241475591333379,regular_convergence,512
42,all_74,64,eth_recovery_q4_q1_duration_contrast,74,-18.30427631578948,4.2818806546507906,4.1349509312254629,4.2818806546507906,0.034314296748495107,True,0.75324999999999998,False,calibration__20211015T090000Z,0.15227755133362172,9.7058711629645664,0.9755067567567568,-0.47435986138503206,regular_convergence,4096
42,all_74,128,ordinary_below_mean,74,0.000353255329457,0,0,0,0,True,1.3559e-05,True,,0,74,0.97529560810810811,,faster_than_expected_or_floor_effect,
42,all_74,128,ordinary_above_mean,74,-9.5134546050499997e-05,0,0,0,0,True,2.8830000000000002e-06,True,,0,74,0.97529560810810811,,faster_than_expected_or_floor_effect,
42,all_74,128,first_six_hour_burden_mean,74,0.73261244593076635,0.0036788399638614426,0.0037079563981592808,0.0037079563981592808,0.0078524208947797457,True,0.0024570982533000003,False,calibration__20210314T050000Z,0.026280237274667231,48.863540539342743,0.97529560810810811,-0.5693760822409214,regular_convergence,512
42,all_74,128,maximum_downside_deviation_mean,74,0.48277132601351347,0.00076563992990190768,0.00073115964149895378,0.00076563992990190768,0.045034600543066565,True,5.4365875714999998e-05,False,calibration__20210409T070000Z,0.097285399853264898,21.860416242073139,0.97529560810810811,-0.49303918058607754,regular_convergence,>8192
42,all_74,128,recovery_completion_hours_mean,74,725.92757601351354,1.068675203412909,1.020254742401107,1.068675203412909,0.04530886545993295,True,0.95394282938200003,False,calibration__20210409T070000Z,0.098438404081053851,21.605491239554521,0.97529560810810811,-0.49407456690177359,regular_convergence,256
42,all_74,128,failed_recovery_attempts_mean,74,0.2039695945945946,0.0036518465356666849,0.0036759676805063765,0.0036759676805063765,0.0065618489976410517,True,0.12984694187000001,True,calibration__20200802T100000Z,0.031213393526988441,47.097591701927335,0.97529560810810811,-0.54711124152669377,regular_convergence,1
42,all_74,128,initial_gap_q4_q1_burden_contrast,74,-0.017027046196665618,0.010456186035391182,0.010917374446960502,0.010917374446960502,0.042243527856436119,True,0.0071927000000000007,False,calibration__20210314T050000Z,0.04934699459173035,25.302685783768432,0.97529560810810811,-0.57241475591333379,regular_convergence,512
42,all_74,128,eth_recovery_q4_q1_duration_contrast,74,-15.18791118421052,3.0782884212766324,2.9264193583816582,3.0782884212766324,0.049335553434590375,True,0.75324999999999998,False,calibration__20210308T080000Z,0.12768543529262638,11.765540554065073,0.97529560810810811,-0.47435986138503206,regular_convergence,4096
42,all_74,256,ordinary_below_mean,74,0.000353255329457,0,0,0,0,True,1.3559e-05,True,,0,74,0.97571790540540537,,faster_than_expected_or_floor_effect,
42,all_74,256,ordinary_above_mean,74,-9.5134546050499997e-05,0,0,0,0,True,2.8830000000000002e-06,True,,0,74,0.97571790540540537,,faster_than_expected_or_floor_effect,
42,all_74,256,first_six_hour_burden_mean,74,0.73421676592792007,0.0025987521321613866,0.0028026480168462887,0.0028026480168462887,0.072751156570256104,True,0.0024570982533000003,False,calibration__20210409T070000Z,0.025818890680778084,48.797628222978211,0.97571790540540537,-0.5693760822409214,regular_convergence,512
