event_id,partition,onset_timestamp_utc,completion_timestamp_utc,stable_run_start_timestamp_utc,trough_timestamp_utc,first_return_timestamp_utc,calendar_year,event_duration_hours,hours_below_0995,initial_peg_gap,minimum_price,maximum_downside_deviation,maximum_six_hour_burden,first_six_hour_burden,first_24_hour_burden,cumulative_downside_burden,burden_after_first_return,hours_to_minimum,hours_to_first_return,recovery_completion_hours,recovery_hours_from_trough,recovery_half_life,failed_recovery_attempts,post_recovery_overshoot,onset_eth_downside,event_eth_downside,eth_recovery_24h,eligible_first_six_hour_burden,eligible_maximum_downside_deviation,eligible_recovery_completion_hours,eligible_failed_recovery_attempts,eligible_initial_gap_contrast,eligible_eth_recovery_contrast
calibration__20200615T050000Z,calibration,2020-06-15T05:00:00Z,2020-06-16T13:00:00Z,2020-06-15T14:00:00Z,2020-06-15T06:00:00Z,2020-06-15T07:00:00Z,2020,32,3,0.00816983333333,0.990545333333,0.00445466666667,0.76245,0.25415,0.0708381944444,1.70011666667,0.175216666667,1,2,32,31,1,1,0.0104515833333,0.0472253879125,0,0.0472157229665,True,True,True,True,True,True
calibration__20200802T100000Z,calibration,2020-08-02T10:00:00Z,2020-08-03T12:00:00Z,2020-08-02T13:00:00Z,2020-08-02T11:00:00Z,2020-08-02T13:00:00Z,2020,26,3,0.00512075,0.98830475,0.00669525,0.674716666667,0.337358333333,0.0843395833333,2.02415,0,1,3,26,25,2,0,0.00654225,0,0,0.0524280132228,True,True,True,True,True,True
calibration__20200804T130000Z,calibration,2020-08-04T13:00:00Z,2020-08-06T02:00:00Z,2020-08-05T03:00:00Z,2020-08-05T01:00:00Z,2020-08-04T14:00:00Z,2020,37,3,0.00577866666667,0.993831166667,0.00116883333333,0.155733333333,0.0259555555556,0.02273125,0.54555,0.389816666667,12,1,37,25,3,1,0.0219601666667,0.00772971483523,0,0.00530267729968,True,True,True,True,True,True
calibration__20200807T180000Z,calibration,2020-08-07T18:00:00Z,2020-08-08T18:00:00Z,2020-08-07T19:00:00Z,2020-08-07T18:00:00Z,2020-08-07T19:00:00Z,2020,24,1,0.00676558333333,0.993234416667,0.00176558333333,0.353116666667,0.0588527777778,0.0147131944444,0.353116666667,0,0,1,24,24,1,0,0.0125769166667,0.0506280830705,0,0.0367943073553,True,True,True,True,True,True
calibration__20201028T210000Z,calibration,2020-10-28T21:00:00Z,2020-10-31T08:00:00Z,2020-10-30T09:00:00Z,2020-10-29T14:00:00Z,2020-10-28T22:00:00Z,2020,59,13,0.0108329166667,0.986177916667,0.00882208333333,1,0.166666666667,0.305804166667,11.2797666667,10.2797666667,17,1,59,42,1,2,0.0209028333333,0.0532564717543,0,-0.0250058562957,True,True,True,True,True,True
calibration__20201102T090000Z,calibration,2020-11-02T09:00:00Z,2020-11-04T00:00:00Z,2020-11-03T01:00:00Z,2020-11-02T12:00:00Z,2020-11-02T10:00:00Z,2020,39,6,0.00574008333333,0.990663916667,0.00433608333333,0.380883333333,0.259083333333,0.0945083333333,2.2682,2.12018333333,3,1,39,36,1,4,0.0166555833333,0,0.0153262149554,-0.00324027409019,True,True,True,True,True,True
calibration__20201107T150000Z,calibration,2020-11-07T15:00:00Z,2020-11-08T19:00:00Z,2020-11-07T20:00:00Z,2020-11-07T18:00:00Z,2020-11-07T16:00:00Z,2020,28,3,0.0056905,0.991269166667,0.00373083333333,0.221066666667,0.172283333333,0.0430708333333,1.0337,0.8956,3,1,28,25,2,1,0.0160013333333,0,0.00939540545041,0.031847692356,True,True,True,True,True,True
calibration__20201109T150000Z,calibration,2020-11-09T15:00:00Z,2020-11-10T15:00:00Z,2020-11-09T16:00:00Z,2020-11-09T15:00:00Z,2020-11-09T16:00:00Z,2020,24,1,0.00612266666667,0.993877333333,0.00112266666667,0.224533333333,0.0374222222222,0.00935555555556,0.224533333333,0,0,1,24,24,2,0,0.011059,0,0.00703108074918,0.0055699743028,True,True,True,True,True,True
calibration__20201112T180000Z,calibration,2020-11-12T18:00:00Z,2020-11-13T21:00:00Z,2020-11-12T22:00:00Z,2020-11-12T21:00:00Z,2020-11-12T20:00:00Z,2020,27,3,0.00554608333333,0.993196333333,0.00180366666667,0.137370833333,0.0915805555556,0.0228951388889,0.549483333333,0.360733333333,3,2,27,24,1,1,0.00975991666667,0.0296277835487,0,0.0268560997065,True,True,True,True,True,True
calibration__20201114T070000Z,calibration,2020-11-14T07:00:00Z,2020-11-15T15:00:00Z,2020-11-14T16:00:00Z,2020-11-14T11:00:00Z,2020-11-14T16:00:00Z,2020,32,9,0.00701875,0.987180333333,0.00781966666667,0.973075,0.871088888889,0.316696527778,7.60071666667,0,4,9,32,28,5,0,0.0193223333333,0,0.025583664543,0.000320492395601,True,True,True,True,True,True
