family,variant_id,candidate_index,absolute_band_gap_reduction,absolute_band_gap_reduction_scales,baseline_gap_scales,baseline_moment,baseline_outer_pass,baseline_signed_gap,moment,movement_towards_band,paired_mcse,paired_shift,paired_snr,shift_scales,variant_gap_scales,variant_moment,variant_outer_pass,variant_signed_gap,active_bad_debt_change,baseline_numerical_bound_pass,censoring_change,stage1_preservation_pass,structural_pass,unresolved_backlog_change,variant_numerical_bound_pass
liquidation_capacity,capacity_10,116,0,0,46.93913314005983,515.81081081081084,False,447.77249476367081,recovery_completion_hours_mean,False,0,0,0,0,46.93913314005983,515.81081081081084,False,447.77249476367081,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,126,0,0,-0.23414679006191219,0.22065033783783783,False,-0.30403244638216209,failed_recovery_attempts_mean,False,0,0,0,0,-0.23414679006191219,0.22065033783783783,False,-0.30403244638216209,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,126,0,0,11.887418234941387,0.4679305889572104,False,0.2920855458132105,first_six_hour_burden_mean,False,0,0,0,0,11.887418234941387,0.4679305889572104,False,0.2920855458132105,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,126,0,0,-7.1310954405238833,-0.057706658475561501,False,-0.51291830175056141,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-7.1310954405238833,-0.057706658475561501,False,-0.51291830175056141,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,126,0,0,723.94734473291783,0.39790223817567566,False,0.39358031367939594,maximum_downside_deviation_mean,False,0,0,0,0,723.94734473291783,0.39790223817567566,False,0.39358031367939594,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,126,0,0,56.615876527497889,608.12141047297303,False,540.083094425833,recovery_completion_hours_mean,False,0,0,0,0,56.615876527497889,608.12141047297303,False,540.083094425833,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,127,0,0,-0.22276384550230657,0.23543074324324326,False,-0.28925204097675666,failed_recovery_attempts_mean,False,0,0,0,0,-0.22276384550230657,0.23543074324324326,False,-0.28925204097675666,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,127,0,0,-1.652521075949358,0.036957046519433857,False,-0.040604066492566045,first_six_hour_burden_mean,False,0,0,0,0,-1.652521075949358,0.036957046519433857,False,-0.040604066492566045,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,127,0,0,-6.8820552629565022,-0.039793945623672444,False,-0.49500558889867236,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-6.8820552629565022,-0.039793945623672444,False,-0.49500558889867236,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,127,0,0,503.63473763380301,0.27812736001573868,False,0.27380543551945896,maximum_downside_deviation_mean,False,0,0,0,0,503.63473763380301,0.27812736001573868,False,0.27380543551945896,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,127,0,0,39.134022609697624,441.35451858108109,False,373.31620253394112,recovery_completion_hours_mean,False,0,0,0,0,39.134022609697624,441.35451858108109,False,373.31620253394112,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,134,0,0,-0.23414679006191219,0.22065033783783783,False,-0.30403244638216209,failed_recovery_attempts_mean,False,0,0,0,0,-0.23414679006191219,0.22065033783783783,False,-0.30403244638216209,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,134,0,0,21.094152644977918,0.69414909933218816,False,0.5183040561881882,first_six_hour_burden_mean,False,0,0,0,0,21.094152644977918,0.69414909933218816,False,0.5183040561881882,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,134,0,0,-6.4591275545903084,-0.0093740243440172399,False,-0.46458566761901715,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-6.4591275545903084,-0.0093740243440172399,False,-0.46458566761901715,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,134,0,0,872.36460746149692,0.47859058277027028,False,0.47426865827399056,maximum_downside_deviation_mean,False,0,0,0,0,872.36460746149692,0.47859058277027028,False,0.47426865827399056,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,134,0,0,68.350778589634913,720.06566722972968,False,652.02735118258965,recovery_completion_hours_mean,False,0,0,0,0,68.350778589634913,720.06566722972968,False,652.02735118258965,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,171,0,0,-0.39253233293413858,0.014991554054054054,False,-0.50969123016594586,failed_recovery_attempts_mean,False,0,0,0,0,-0.39253233293413858,0.014991554054054054,False,-0.50969123016594586,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,171,0,0,-3.1528494570334233,9.250407405312406e-05,False,-0.077468608937946784,first_six_hour_burden_mean,False,0,0,0,0,-3.1528494570334233,9.250407405312406e-05,False,-0.077468608937946784,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,171,0,0,-6.3274460232778278,9.7433158695518668e-05,False,-0.45511421011630437,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-6.3274460232778278,9.7433158695518668e-05,False,-0.45511421011630437,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,171,0,0,-3.9154654304189429,1.8612398115630541e-05,False,-0.0021286770695645692,maximum_downside_deviation_mean,False,0,0,0,0,-3.9154654304189429,1.8612398115630541e-05,False,-0.0021286770695645692,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,171,0,0,1.5832346637836763,83.141469594594597,False,15.103153547454596,recovery_completion_hours_mean,False,0,0,0,0,1.5832346637836763,83.141469594594597,False,15.103153547454596,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,193,0,0,-0.28211777070596433,0.15836148648648649,False,-0.36632129773351341,failed_recovery_attempts_mean,False,0,0,0,0,-0.28211777070596433,0.15836148648648649,False,-0.36632129773351341,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,193,0,0,-2.5332387650955379,0.015316947562918945,False,-0.062244165449080957,first_six_hour_burden_mean,False,0,0,0,0,-2.5332387650955379,0.015316947562918945,False,-0.062244165449080957,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,193,0,0,-6.7462030393001839,-0.030022502732744424,False,-0.48523414600774434,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-6.7462030393001839,-0.030022502732744424,False,-0.48523414600774434,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,193,0,0,83.090526231084169,0.04949481671799378,False,0.045172892221714077,maximum_downside_deviation_mean,False,0,0,0,0,83.090526231084169,0.04949481671799378,False,0.045172892221714077,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,193,0,0,7.4263822241330528,138.88175675675674,False,70.843440709616743,recovery_completion_hours_mean,False,0,0,0,0,7.4263822241330528,138.88175675675674,False,70.843440709616743,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,203,0,0,-0.14698595743407508,0.33382601351351349,False,-0.19085677070648643,failed_recovery_attempts_mean,False,0,0,0,0,-0.14698595743407508,0.33382601351351349,False,-0.19085677070648643,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,203,0,0,1.137364212449443,0.20379119934175446,False,0.027946156197754563,first_six_hour_burden_mean,False,0,0,0,0,1.137364212449443,0.20379119934175446,False,0.027946156197754563,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,203,0,0,-7.0541618750279218,-0.05217305791013338,False,-0.50738470118513335,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-7.0541618750279218,-0.05217305791013338,False,-0.50738470118513335,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,203,0,0,660.12099919810237,0.36320248648880421,False,0.35888056199252449,maximum_downside_deviation_mean,False,0,0,0,0,660.12099919810237,0.36320248648880421,False,0.35888056199252449,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,203,0,0,51.574057337317107,560.02533783783781,False,491.98702179069778,recovery_completion_hours_mean,False,0,0,0,0,51.574057337317107,560.02533783783781,False,491.98702179069778,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,222,0,0,-0.21121828744899235,0.25042229729729731,False,-0.27426048692270261,failed_recovery_attempts_mean,False,0,0,0,0,-0.21121828744899235,0.25042229729729731,False,-0.27426048692270261,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,222,0,0,16.333718472139296,0.57718055442187399,False,0.40133551127787409,first_six_hour_burden_mean,False,0,0,0,0,16.333718472139296,0.57718055442187399,False,0.40133551127787409,0,False,0,True,True,0,False
