contrast_order,contrast_type,anchor,family,metric,left_delay,right_delay,contrast_label,direction_multiplier,operationality,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,classification
23,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_debt_weighted_mismatch,0,1,delay_1_minus_0,1,operational,128,0.12107496422545769,0.0005985665831871159,0.11990177372241094,0.12224815472850444,0.12112219880093374,0.11030545662021923,0.11878965714822837,0.12354025024405418,0.1268335069231275,0.1321089438734602,1.0,128,0,
24,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_debt_weighted_mismatch,1,2,delay_2_minus_1,1,operational,128,0.002679027155997418,0.0004753163053737014,0.0017474071974649635,0.003610647114529873,0.001690994438114518,-0.002911393460491619,9.537631112037023e-05,0.0038756439986436728,0.008034708573774207,0.009645771877064033,0.7734375,99,29,
25,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_debt_weighted_mismatch,1,2,delay_2_minus_1,1,operational,128,0.002679027155997418,0.0004753163053737014,0.0017474071974649635,0.003610647114529873,0.001690994438114518,-0.002911393460491619,9.537631112037023e-05,0.0038756439986436728,0.008034708573774207,0.009645771877064033,0.7734375,99,29,
26,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_debt_weighted_mismatch,0,2,delay_2_minus_0,1,operational,128,0.12375399138145511,0.0008967836756837851,0.12199629537711489,0.12551168738579532,0.12300237367379928,0.110241719021986,0.11934412105970096,0.12716950864484783,0.13417788631155925,0.137199529318414,1.0,128,0,
27,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_debt_weighted_mismatch,0,2,delay_2_minus_0,1,operational,128,0.12375399138145511,0.0008967836756837851,0.12199629537711489,0.12551168738579532,0.12300237367379928,0.110241719021986,0.11934412105970096,0.12716950864484783,0.13417788631155925,0.137199529318414,1.0,128,0,
28,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,peak_debt_weighted_mismatch,0,2,delay_2_minus_0,1,operational,128,0.12375399138145511,0.0008967836756837851,0.12199629537711489,0.12551168738579532,0.12300237367379928,0.110241719021986,0.11934412105970096,0.12716950864484783,0.13417788631155925,0.137199529318414,1.0,128,0,monotonic_deterioration
29,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_safe_vault_hours,0,1,delay_1_minus_0,1,operational,128,13.1875,1.9137000249341771,9.436647951129013,16.938352048870986,4.5,0.0,0.0,18.0,32.0,59.64999999999999,0.609375,78,0,
30,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_safe_vault_hours,0,1,delay_1_minus_0,1,operational,128,13.1875,1.9137000249341771,9.436647951129013,16.938352048870986,4.5,0.0,0.0,18.0,32.0,59.64999999999999,0.609375,78,0,
31,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_safe_vault_hours,1,2,delay_2_minus_1,1,operational,128,10.1875,1.5948424347666081,7.061608827857448,13.313391172142552,3.0,0.0,0.0,12.25,28.0,46.949999999999974,0.5625,72,3,
32,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_safe_vault_hours,1,2,delay_2_minus_1,1,operational,128,10.1875,1.5948424347666081,7.061608827857448,13.313391172142552,3.0,0.0,0.0,12.25,28.0,46.949999999999974,0.5625,72,3,
33,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_safe_vault_hours,0,2,delay_2_minus_0,1,operational,128,23.375,3.4817790614958417,16.55071303946815,30.19928696053185,7.0,0.0,0.0,29.5,56.599999999999994,103.29999999999998,0.609375,78,0,
34,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_safe_vault_hours,0,2,delay_2_minus_0,1,operational,128,23.375,3.4817790614958417,16.55071303946815,30.19928696053185,7.0,0.0,0.0,29.5,56.599999999999994,103.29999999999998,0.609375,78,0,
35,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,false_safe_vault_hours,0,2,delay_2_minus_0,1,operational,128,23.375,3.4817790614958417,16.55071303946815,30.19928696053185,7.0,0.0,0.0,29.5,56.599999999999994,103.29999999999998,0.609375,78,0,monotonic_deterioration
36,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_safe_debt_hours,0,1,delay_1_minus_0,1,operational,128,81883.3763898579,17053.23362905929,48459.0384769017,115307.71430281411,2602.6389123641693,0.0,0.0,46080.62954183578,244788.79449561512,515280.59946052165,0.609375,78,0,
37,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_safe_debt_hours,0,1,delay_1_minus_0,1,operational,128,81883.3763898579,17053.23362905929,48459.0384769017,115307.71430281411,2602.6389123641693,0.0,0.0,46080.62954183578,244788.79449561512,515280.59946052165,0.609375,78,0,
38,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_safe_debt_hours,1,2,delay_2_minus_1,1,operational,128,81647.54014454926,22438.952119785394,37667.19398976989,125627.88629932863,1019.1820263001582,0.0,0.0,29522.09925082705,200031.23174272047,464490.21937367675,0.546875,70,5,
39,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_safe_debt_hours,1,2,delay_2_minus_1,1,operational,128,81647.54014454926,22438.952119785394,37667.19398976989,125627.88629932863,1019.1820263001582,0.0,0.0,29522.09925082705,200031.23174272047,464490.21937367675,0.546875,70,5,
40,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_safe_debt_hours,0,2,delay_2_minus_0,1,operational,128,163530.91653440712,38303.1096988068,88456.82152474578,238605.01154406846,3491.0474512466276,0.0,0.0,82244.42220055296,473248.07648529724,970077.660447927,0.609375,78,0,
41,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_safe_debt_hours,0,2,delay_2_minus_0,1,operational,128,163530.91653440712,38303.1096988068,88456.82152474578,238605.01154406846,3491.0474512466276,0.0,0.0,82244.42220055296,473248.07648529724,970077.660447927,0.609375,78,0,
42,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,false_safe_debt_hours,0,2,delay_2_minus_0,1,operational,128,163530.91653440712,38303.1096988068,88456.82152474578,238605.01154406846,3491.0474512466276,0.0,0.0,82244.42220055296,473248.07648529724,970077.660447927,0.609375,78,0,monotonic_deterioration
43,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_false_safe_debt,0,1,delay_1_minus_0,1,operational,128,48886.636164206444,10724.37820712591,27866.85487823966,69906.41745017323,1244.6350418506179,0.0,0.0,21068.24375910782,135908.33698820928,329966.9082961046,0.609375,78,0,
44,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_false_safe_debt,0,1,delay_1_minus_0,1,operational,128,48886.636164206444,10724.37820712591,27866.85487823966,69906.41745017323,1244.6350418506179,0.0,0.0,21068.24375910782,135908.33698820928,329966.9082961046,0.609375,78,0,
45,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_false_safe_debt,1,2,delay_2_minus_1,1,operational,128,4019.1385024593956,1370.5025439087365,1332.9535163982723,6705.323488520518,0.0,0.0,0.0,215.73560519743518,5326.090048706519,25589.040241624825,0.2890625,37,3,
46,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_false_safe_debt,1,2,delay_2_minus_1,1,operational,128,4019.1385024593956,1370.5025439087365,1332.9535163982723,6705.323488520518,0.0,0.0,0.0,215.73560519743518,5326.090048706519,25589.040241624825,0.2890625,37,3,
47,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_false_safe_debt,0,2,delay_2_minus_0,1,operational,128,52905.774666665835,11490.65677292427,30384.087391734265,75427.4619415974,1317.0904792230726,0.0,0.0,21473.0163893117,135038.94756037003,395313.14678758214,0.609375,78,0,
48,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_false_safe_debt,0,2,delay_2_minus_0,1,operational,128,52905.774666665835,11490.65677292427,30384.087391734265,75427.4619415974,1317.0904792230726,0.0,0.0,21473.0163893117,135038.94756037003,395313.14678758214,0.609375,78,0,
49,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,peak_false_safe_debt,0,2,delay_2_minus_0,1,operational,128,52905.774666665835,11490.65677292427,30384.087391734265,75427.4619415974,1317.0904792230726,0.0,0.0,21473.0163893117,135038.94756037003,395313.14678758214,0.609375,78,0,monotonic_deterioration
50,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_vault_hours,0,1,delay_1_minus_0,1,operational,128,6.328125,1.1767467632242963,4.0217013440803795,8.63454865591962,1.0,0.0,0.0,6.0,17.0,31.249999999999957,0.5390625,69,0,
51,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_vault_hours,0,1,delay_1_minus_0,1,operational,128,6.328125,1.1767467632242963,4.0217013440803795,8.63454865591962,1.0,0.0,0.0,6.0,17.0,31.249999999999957,0.5390625,69,0,
52,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_vault_hours,1,2,delay_2_minus_1,1,operational,128,3.3515625,0.778145591444808,1.8263971407681763,4.876727859231824,0.0,0.0,0.0,3.0,9.0,17.64999999999999,0.4140625,53,5,
53,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_vault_hours,1,2,delay_2_minus_1,1,operational,128,3.3515625,0.778145591444808,1.8263971407681763,4.876727859231824,0.0,0.0,0.0,3.0,9.0,17.64999999999999,0.4140625,53,5,
54,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_vault_hours,0,2,delay_2_minus_0,1,operational,128,9.6796875,1.9135451956424978,5.929138916540705,13.430236083459295,2.0,0.0,0.0,9.0,26.0,47.89999999999995,0.5546875,71,0,
55,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_vault_hours,0,2,delay_2_minus_0,1,operational,128,9.6796875,1.9135451956424978,5.929138916540705,13.430236083459295,2.0,0.0,0.0,9.0,26.0,47.89999999999995,0.5546875,71,0,
56,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_vault_hours,0,2,delay_2_minus_0,1,operational,128,9.6796875,1.9135451956424978,5.929138916540705,13.430236083459295,2.0,0.0,0.0,9.0,26.0,47.89999999999995,0.5546875,71,0,monotonic_deterioration
57,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_debt_hours,0,1,delay_1_minus_0,1,operational,128,30442.306102508555,9937.318752706526,10965.161347203764,49919.45085781335,610.53694090198,0.0,0.0,6367.024571176198,50181.922008599075,117365.59317274367,0.5390625,69,0,
58,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_debt_hours,0,1,delay_1_minus_0,1,operational,128,30442.306102508555,9937.318752706526,10965.161347203764,49919.45085781335,610.53694090198,0.0,0.0,6367.024571176198,50181.922008599075,117365.59317274367,0.5390625,69,0,
59,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_debt_hours,1,2,delay_2_minus_1,1,operational,128,25075.417881382724,11584.102875031731,2370.576246320532,47780.259516444916,0.0,-954.2222777903041,0.0,1143.12817702957,10800.467139116021,93540.22379938062,0.390625,50,13,
60,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_debt_hours,1,2,delay_2_minus_1,1,operational,128,25075.417881382724,11584.102875031731,2370.576246320532,47780.259516444916,0.0,-954.2222777903041,0.0,1143.12817702957,10800.467139116021,93540.22379938062,0.390625,50,13,
61,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_debt_hours,0,2,delay_2_minus_0,1,operational,128,55517.72398389128,19632.758453926155,17037.517414196016,93997.93055358654,903.6708659429646,0.0,0.0,8851.859653780828,69268.57614319451,214367.30244296507,0.5546875,71,0,
62,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_debt_hours,0,2,delay_2_minus_0,1,operational,128,55517.72398389128,19632.758453926155,17037.517414196016,93997.93055358654,903.6708659429646,0.0,0.0,8851.859653780828,69268.57614319451,214367.30244296507,0.5546875,71,0,
63,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,false_unsafe_debt_hours,0,2,delay_2_minus_0,1,operational,128,55517.72398389128,19632.758453926155,17037.517414196016,93997.93055358654,903.6708659429646,0.0,0.0,8851.859653780828,69268.57614319451,214367.30244296507,0.5546875,71,0,monotonic_deterioration
64,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_false_unsafe_debt,0,1,delay_1_minus_0,1,operational,128,21640.186558972204,8071.003589648201,5821.01952326173,37459.353594682674,381.99003874220443,0.0,0.0,4387.493705779729,19284.55800735982,94145.07962843843,0.5390625,69,0,
65,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_false_unsafe_debt,0,1,delay_1_minus_0,1,operational,128,21640.186558972204,8071.003589648201,5821.01952326173,37459.353594682674,381.99003874220443,0.0,0.0,4387.493705779729,19284.55800735982,94145.07962843843,0.5390625,69,0,
66,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_false_unsafe_debt,1,2,delay_2_minus_1,1,operational,128,1041.3391850455876,376.70256391094404,303.0021597801373,1779.6762103110377,0.0,-247.90948181783213,0.0,0.0,2110.3954413870683,6682.189428472974,0.21875,28,8,
67,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_false_unsafe_debt,1,2,delay_2_minus_1,1,operational,128,1041.3391850455876,376.70256391094404,303.0021597801373,1779.6762103110377,0.0,-247.90948181783213,0.0,0.0,2110.3954413870683,6682.189428472974,0.21875,28,8,
68,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,peak_false_unsafe_debt,0,2,delay_2_minus_0,1,operational,128,22681.525744017792,8074.893839943886,6854.733817727776,38508.317670307806,537.0284614488071,0.0,0.0,5519.288317584377,26980.767961919984,95022.23870855961,0.5546875,71,0,
69,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,peak_false_unsafe_debt,0,2,delay_2_minus_0,1,operational,128,22681.525744017792,8074.893839943886,6854.733817727776,38508.317670307806,537.0284614488071,0.0,0.0,5519.288317584377,26980.767961919984,95022.23870855961,0.5546875,71,0,
70,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,peak_false_unsafe_debt,0,2,delay_2_minus_0,1,operational,128,22681.525744017792,8074.893839943886,6854.733817727776,38508.317670307806,537.0284614488071,0.0,0.0,5519.288317584377,26980.767961919984,95022.23870855961,0.5546875,71,0,monotonic_deterioration
71,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,market_unsafe_debt_not_oracle_eligible_share,0,1,delay_1_minus_0,1,operational,128,0.23584502205679736,0.0226426731874757,0.19146538260934498,0.28022466150424974,0.1770026222985123,0.0,0.0,0.37140397589661656,0.5236509858396324,0.7440446479693515,0.609375,78,0,
72,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,market_unsafe_debt_not_oracle_eligible_share,0,1,delay_1_minus_0,1,operational,128,0.23584502205679736,0.0226426731874757,0.19146538260934498,0.28022466150424974,0.1770026222985123,0.0,0.0,0.37140397589661656,0.5236509858396324,0.7440446479693515,0.609375,78,0,
73,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,market_unsafe_debt_not_oracle_eligible_share,1,2,delay_2_minus_1,1,operational,128,0.07596664828264998,0.012468224279349955,0.05152892869512407,0.1004043678701759,0.0,-0.10480760970217545,0.0,0.15752615426328034,0.26522129964803765,0.3284299428386894,0.484375,62,14,
74,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,market_unsafe_debt_not_oracle_eligible_share,1,2,delay_2_minus_1,1,operational,128,0.07596664828264998,0.012468224279349955,0.05152892869512407,0.1004043678701759,0.0,-0.10480760970217545,0.0,0.15752615426328034,0.26522129964803765,0.3284299428386894,0.484375,62,14,
