cell_order,cell_identifier,anchor,portfolio,shock,oracle_treatment,oracle_delay_steps,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,28,capacity_rejected_opportunity_count,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,29,successful_closure_count,operational,1,128,8.0,1.0096727075532708,6.02104149319559,9.97895850680441,2.0,0.0,0.0,14.0,24.299999999999997,28.64999999999999,0.5859375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,30,liquidated_debt_share,operational,1,128,0.025233085090960276,0.005403376345266232,0.014642467454238462,0.035823702727682094,0.0004991212789764733,0.0,0.0,0.01105146957115476,0.0762347792755503,0.1737521463831973,0.5859375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,31,debt_weighted_liquidated_vault_share,operational,1,128,0.025233085090960276,0.005403376345266232,0.014642467454238462,0.035823702727682094,0.0004991212789764733,0.0,0.0,0.01105146957115476,0.0762347792755503,0.1737521463831973,0.5859375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,32,realised_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,33,positive_realised_bad_debt,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,34,terminal_active_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,35,below_peg_burden,operational,1,128,0.26573735733407927,0.004429321061590217,0.25705588805336244,0.2744188266147961,0.2611188867348968,0.19027597824060033,0.2351654513947821,0.2922824941964385,0.3357395232206026,0.35351421629069185,1.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,36,mean_absolute_peg_deviation,operational,1,128,0.0006027275551807701,6.544235599836368e-06,0.0005899008534050908,0.0006155542569564494,0.0006036192282060733,0.0004798236752275121,0.0005461204591283339,0.0006602929112880015,0.0006956110524163097,0.0007239659266357082,1.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,37,minimum_dai_price,operational,-1,128,0.9958418344003704,9.79953795986738e-05,0.995649763456357,0.9960339053443839,0.9960180270200536,0.9941428198490697,0.9951791977815344,0.996737081710873,0.9971107571339368,0.9973160104079624,1.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,38,restricted_mean_recovery_time,operational,1,128,74.7578125,13.385913137817223,48.52142274987824,100.99420225012176,0.0,0.0,0.0,0.0,333.2,402.95,0.2265625
