cell_order,cell_identifier,anchor,portfolio,shock,oracle_treatment,oracle_delay_steps,family_order,family,metric_order,metric,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,23,maximum_backlog,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,24,terminal_active_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,25,realised_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,26,keeper_profit_proxy,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,1,ETH,1,initial_debt_exposure,128,2120985.2816991024,4.53235218828019e-11,2120985.2816991024,2120985.2816991024,2120985.281699102,2120985.2816991014,2120985.281699102,2120985.281699102,2120985.2816991024,2120985.2816991024,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,1,ETH,2,absolute_mismatch_area,128,3.0340808582095247,0.053460880160690796,2.9292975330945707,3.1388641833244786,2.9339627532770907,2.2171431941263737,2.6223411836204065,3.417946708383833,3.8643748356824306,4.2036524207886155,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,1,ETH,3,peak_absolute_mismatch,128,0.12506973125219087,0.0006346174463964315,0.12382588105725387,0.12631358144712787,0.12484123093884028,0.11415471395951307,0.12283814241104592,0.12753647628820597,0.13085170675193616,0.13650401580760596,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,1,ETH,4,oracle_overvaluation_area,128,1.5008459962140979,0.028328588506818613,1.4453219627407334,1.5563700296874623,1.4645977006117255,1.07339579005539,1.2509724297317404,1.6910326053273639,1.9422394740345899,2.102686773297611,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,1,ETH,5,peak_oracle_overvaluation,128,0.12506973125219087,0.0006346174463964315,0.12382588105725387,0.12631358144712787,0.12484123093884028,0.11415471395951307,0.12283814241104592,0.12753647628820597,0.13085170675193616,0.13650401580760596,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,1,ETH,6,oracle_undervaluation_area,128,1.5332348619954272,0.027773161979156066,1.4787994645162814,1.587670259474573,1.4841391573054006,1.0916041491813053,1.3194998864311267,1.7570797591117695,1.9459662211309994,2.093229273947061,1.0
