pool_row_id,source_pool_row_id,source_row,timestamp_utc,calibration_pool_label,regime_label,is_calibration,return_observation_valid,calibration_segment_id,eth_price_usd,wbtc_price_usd,usdc_price_usd,eth_log_return,wbtc_log_return,usdc_log_return,eth_24h_log_return,wbtc_24h_log_return,usdc_24h_log_return,median_effective_gas_price_gwei,p90_effective_gas_price_gwei,p99_effective_gas_price_gwei,target_normalised_block_utilisation
23771,24587,24587,2024-03-21T11:00:00Z,all_calibration,normal,True,True,2,3542.10166667,67050.7641667,1.00102408333,-0.000207011966502,0.00184013738075,-3.08013153681e-05,0.0826653908246,0.0571609148747,-0.000143009975647,29.5809559792,34.1911945794,55.9918777879,1.01421743424
23772,24588,24588,2024-03-21T12:00:00Z,all_calibration,normal,True,True,2,3543.55416667,67235.2683333,1.0011895,0.00040998322654,0.00274792961461,0.000165233787664,0.0636001520699,0.0518698067101,0.000136097384007,29.9175163214,36.0511099343,63.6835878018,1.01957439988
23773,24589,24589,2024-03-21T13:00:00Z,all_calibration,normal,True,True,2,3550.17,67343.9491667,1.00105283333,0.00186526430858,0.00161512095222,-0.000136513612368,0.0592458266573,0.0563703971808,0.000153433576071,32.2723198321,38.3637007609,69.4268724852,1.01489224227
23774,24590,24590,2024-03-21T14:00:00Z,all_calibration,normal,True,True,2,3540.85583333,67051.0491667,1.00110958333,-0.00262703090984,-0.00435880006502,5.66887077126e-05,0.0542446109444,0.0472721094745,3.670994181e-05,33.5388396544,38.9851548629,69.7500806694,1.01845355081
23775,24591,24591,2024-03-21T15:00:00Z,all_calibration,stress,True,True,2,3510.35,66544.9175,1.00117416667,-0.0086527111486,-0.0075770863568,6.45096713751e-05,0.0462425979523,0.0400053668154,0.000315096386928,39.2524705015,46.1237487982,87.5674456338,1.00872849828
23776,24592,24592,2024-03-21T16:00:00Z,all_calibration,normal,True,True,2,3507.41916667,66536.8358333,1.00090433333,-0.000835260731472,-0.000121454165942,-0.000269553201803,0.0721933740413,0.0508075563225,-0.000235259546225,35.8785228749,40.7863853351,80.5154226019,1.01278992581
23777,24593,24593,2024-03-21T17:00:00Z,all_calibration,normal,True,True,2,3509.85333333,66478.3591667,1.00120591667,0.000693764354825,-0.000879247975149,0.000301265462893,0.0672901231131,0.0434131629595,0.00212444585263,36.3800591053,44.2962787567,84.9064640403,1.01312293845
23778,24594,24594,2024-03-21T18:00:00Z,all_calibration,stress,True,True,2,3447.4375,65441.5741667,1.00113633333,-0.0179430497877,-0.0157187215148,-6.95019379047e-05,0.0364670877974,0.0166066298518,0.000526373864977,35.3762438424,42.6132814365,82.2685455598,1.01186492907
23779,24595,24595,2024-03-21T19:00:00Z,all_calibration,normal,True,True,2,3436.13,65310.46,1.00125333333,-0.00328536334415,-0.00200553989771,0.000116860371466,0.0172857964752,-0.0013512819523,0.00113797179759,29.9043991356,36.2196778963,55.3254400748,1.01010606452
23780,24596,24596,2024-03-21T20:00:00Z,all_calibration,normal,True,True,2,3465.575,65421.2683333,1.001141,0.00853272594264,0.00169520224787,-0.000112199012533,0.0103428415504,-0.0177312467357,0.00155093383241,38.0241803616,46.1678066298,89.4880463306,1.01791597219
23781,24597,24597,2024-03-21T21:00:00Z,all_calibration,normal,True,True,2,3484.7875,65475.445,1.00120433333,0.00552850270321,0.000827777388457,6.32591514568e-05,-0.000315846947643,-0.0292753481835,0.000479287756114,30.2185439773,37.2665100235,65.7916305158,1.0035807649
23782,24598,24598,2024-03-21T22:00:00Z,all_calibration,normal,True,True,2,3502.775,65653.0275,1.00107983333,0.00514844474939,0.00270852859304,-0.000124357972993,-0.0012658133232,-0.0316827568419,0.000238853964997,28.0585691132,33.9069259048,63.3551160398,1.01267167608
23783,24599,24599,2024-03-21T23:00:00Z,all_calibration,normal,True,True,2,3491.17916667,65543.4691667,1.00114475,-0.00331596223889,-0.00167014152944,6.48445406476e-05,-0.00844916063775,-0.0333840834488,0.000440592789249,25.2599270051,30.0676788846,48.4803896846,1.01261125749
23784,24600,24600,2024-03-22T00:00:00Z,all_calibration,normal,True,True,2,3499.84333333,65712.0908333,1.0010615,0.00247865633461,0.00256936558621,-8.31582660858e-05,-0.00544018142351,-0.0319819829025,0.000409565862171,23.9927930531,28.8013906346,47.341251272,1.01800022897
23785,24601,24601,2024-03-22T01:00:00Z,all_calibration,normal,True,True,2,3494.835,65779.5333333,1.00096191667,-0.00143204131786,0.00102580687312,-9.94826859532e-05,-0.00894267465105,-0.0312363110223,4.20437754025e-05,22.869813974,26.5606034692,59.0494473692,1.01315201015
23786,24602,24602,2024-03-22T02:00:00Z,all_calibration,normal,True,True,2,3471.3475,65447.3775,1.00138366667,-0.00674331716188,-0.00506232358247,0.000421255960756,-0.0202442081114,-0.0355352785365,0.000563962214413,23.1177679009,27.7471078344,44.7652027805,1.01005557907
23787,24603,24603,2024-03-22T03:00:00Z,all_calibration,normal,True,True,2,3497.855,65895.7333333,1.00091808333,0.00760707636979,0.00682727205161,-0.000465048129458,-0.0119365486194,-0.0233556840217,-7.50116503606e-05,21.6489737976,25.2593878709,42.2730803498,1.01217660046
23788,24604,24604,2024-03-22T04:00:00Z,all_calibration,normal,True,True,2,3515.25083333,66006.5625,1.0010005,0.00496096007227,0.00168047405162,8.23376808625e-05,0.00132487001673,-0.0115146482006,-0.00016482149869,22.3974900005,26.0373851448,42.0537651423,1.01927222489
23789,24605,24605,2024-03-22T05:00:00Z,all_calibration,normal,True,True,2,3516.52916667,66216.7825,1.000995,0.00036358741241,0.0031797739972,-5.49451784471e-06,0.010499650093,-0.00520539735347,-0.000112132135227,21.6202739182,26.5322544688,41.0303555896,1.0152938017
23790,24606,24606,2024-03-22T06:00:00Z,all_calibration,normal,True,True,2,3530.92333333,66455.5433333,1.00090216667,0.00408493329542,0.00359925989975,-9.27453566999e-05,0.00368641892894,-0.0102327259993,-7.70941403913e-05,22.2421852429,27.0410195064,44.4640925594,1.01640370281
23791,24607,24607,2024-03-22T07:00:00Z,all_calibration,normal,True,True,2,3526.39916667,66333.1425,1.00091291667,-0.0012821200353,-0.00184354363072,1.07402527725e-05,0.000966986816993,-0.012293345238,2.49772290859e-06,24.8134182268,29.2799853885,78.2202413151,1.01377637973
23792,24608,24608,2024-03-22T08:00:00Z,all_calibration,normal,True,True,2,3515.01083333,66243.035,1.0010945,-0.00323467693634,-0.00135933190373,0.000181401259875,-0.00796955636901,-0.016741529396,0.000122956324728,24.5684307384,28.7589104386,75.4294815142,1.01242408299
23793,24609,24609,2024-03-22T09:00:00Z,all_calibration,normal,True,True,2,3486.44,65881.4016667,1.00116066667,-0.00816144899205,-0.00547414612351,6.60921422923e-05,-0.0220014160342,-0.019586087334,8.13255854443e-05,26.124909039,30.5696296688,75.9122613255,1.01013574942
23794,24610,24610,2024-03-22T10:00:00Z,all_calibration,stress,True,True,2,3454.46583333,65180.5758333,1.00123541667,-0.00921331987844,-0.0106946732606,7.46605535814e-05,-0.0252594156793,-0.0264483613695,0.000180293534344,26.0534197421,31.811997851,69.8784339953,1.01095665562
23795,24611,24611,2024-03-22T11:00:00Z,all_calibration,normal,True,True,2,3438.78083333,64815.8025,1.00133658333,-0.00455083876389,-0.0056120685114,0.000101036733513,-0.0296032424767,-0.0339005672616,0.000312131583225,23.7673577215,31.5411472794,53.7627170563,1.0213410725
23796,24612,24612,2024-03-22T12:00:00Z,all_calibration,normal,True,True,2,3418.74416667,64474.9325,1.00115083333,-0.00584371874286,-0.0052729345191,-0.000185519268672,-0.0358569444461,-0.0419214313953,-3.86214731113e-05,26.1823526035,32.5851448408,55.0519363169,1.00708743892
23797,24613,24613,2024-03-22T13:00:00Z,all_calibration,normal,True,True,2,3402.6525,64131.8083333,1.00160975,-0.00471800638564,-0.00533603415495,0.000458284108962,-0.0424402151403,-0.0488725865025,0.000556176248219,27.2830617562,33.465472557,62.3269213605,1.02010349964
23798,24614,24614,2024-03-22T14:00:00Z,all_calibration,stress,True,True,2,3332.1575,63181.7741667,1.00106358333,-0.0209352824294,-0.014924594571,-0.000545437611932,-0.0607484666598,-0.0594383810085,-4.59500714265e-05,41.2658915856,50.1862095568,84.3434102628,1.01303726136
23799,24615,24615,2024-03-22T15:00:00Z,all_calibration,normal,True,True,2,3336.71666667,63595.2091667,1.00147725,0.00136729746671,0.00652226381719,0.000413141810309,-0.0507284580445,-0.0453390308345,0.000302682067508,36.5202359506,43.4066537361,76.681608025,1.00696923619
23800,24616,24616,2024-03-22T16:00:00Z,all_calibration,normal,True,True,2,3328.02666667,63498.3475,1.0014345,-0.00260775381436,-0.0015242580027,-4.26878518309e-05,-0.0525009511274,-0.0467418346713,0.00052954741748,29.0992844675,36.5968876571,68.9755141635,1.01850798814
23801,24617,24617,2024-03-22T17:00:00Z,all_calibration,normal,True,True,2,3333.2,63575.17,1.00128783333,0.00155326777854,0.00120910337371,-0.000146467300521,-0.0516414477037,-0.0446534833224,8.1814654066e-05,27.9846515155,34.4460650852,66.4333373612,1.00315479673
23802,24618,24618,2024-03-22T18:00:00Z,all_calibration,normal,True,True,2,3342.55166667,63708.6975,1.00107191667,0.00280168384048,0.00209810640744,-0.00021566221305,-0.0308967140756,-0.0268366554001,-6.43456210794e-05,24.9290102785,30.7372987361,65.1769128291,1.01218901075
23803,24619,24619,2024-03-22T19:00:00Z,all_calibration,normal,True,True,2,3343.87833333,63775.6341667,1.00099616667,0.000396823621596,0.00105011607219,-7.56717522914e-05,-0.0272145271098,-0.0237809994302,-0.000256877744837,24.1370116732,30.9210455289,62.4547945468,1.0070216271
23804,24620,24620,2024-03-22T20:00:00Z,all_calibration,normal,True,True,2,3332.06416667,63716.4966667,1.00126358333,-0.00353932916574,-0.000927704382299,0.000267114861852,-0.0392865822182,-0.0264039060604,0.000122436129548,23.0711838706,27.6314507563,47.4487205301,1.0109781575
23805,24621,24621,2024-03-22T21:00:00Z,all_calibration,stress,True,True,2,3300.32416667,63129.13,1.00122175,-0.00957128585106,-0.00926119221109,-4.17814129701e-05,-0.0543863707725,-0.03649287566,1.73955651215e-05,23.5699427178,30.7224708261,53.2580675133,1.01789733737
23806,24622,24622,2024-03-22T22:00:00Z,all_calibration,normal,True,True,2,3293.47666667,62994.7791667,1.0015755,-0.00207695155938,-0.0021304586107,0.000353255931102,-0.0616117670812,-0.0413318628637,0.000495009469217,20.6923177692,24.3644153841,46.6194413124,1.01586087064
