pool_row_id,source_row,timestamp_utc,calibration_pool_label,regime_label,is_calibration,is_withheld_ftx,return_observation_valid,eth_price_usd,wbtc_price_usd,eth_log_return,wbtc_log_return,median_effective_gas_price_gwei,p90_effective_gas_price_gwei,p99_effective_gas_price_gwei,target_normalised_block_utilisation
6454,6454,2022-02-24T22:00:00Z,all_calibration,stress,True,False,True,2610.7616666666663,38264.37250000001,-0.00955422089842,-0.0026589689905129,59.9975006133783,86.18716937307569,145.27948975597454,1.0427042196878231
6455,6455,2022-02-24T23:00:00Z,all_calibration,stress,True,False,True,2582.554999999999,38169.97166666666,-0.0108627860931376,-0.0024701168659539,46.62072413295791,83.26877503583889,148.21559164659638,1.0068502405795865
6456,6456,2022-02-25T00:00:00Z,all_calibration,normal,True,False,True,2606.6050000000014,38429.855,0.0092693893427533,0.0067855070120845,53.61835522872277,70.42675717749829,121.69294632601972,1.0397906456054686
6457,6457,2022-02-25T01:00:00Z,all_calibration,normal,True,False,True,2614.4758333333334,38542.77916666668,0.0030150229605618,0.0029341401370661,58.7026353110217,87.84182180844735,159.34370719421676,1.0159378705523985
6458,6458,2022-02-25T02:00:00Z,all_calibration,normal,True,False,True,2631.6433333333334,38616.54916666666,0.0065448613482361,0.0019121478652177,54.81392492249897,73.16293505430822,122.89529074299756,1.0334281430792198
6459,6459,2022-02-25T03:00:00Z,all_calibration,normal,True,False,True,2625.9416666666657,38704.04333333332,-0.0021689307550305,0.0022631539977169,45.45711746079775,59.46701778559782,102.37845936601268,1.0306319688733756
6460,6460,2022-02-25T04:00:00Z,all_calibration,normal,True,False,True,2625.898333333333,38859.2275,-1.650215289661361e-05,0.0040014912229935,44.39772608114362,55.36175870929019,128.59683168886397,1.02627412329471
6461,6461,2022-02-25T05:00:00Z,all_calibration,normal,True,False,True,2610.7983333333336,38692.03499999999,-0.0057670103163536,-0.0043117997990425,44.96322109420368,66.08667859933675,111.4998204277068,1.027365150409678
6462,6462,2022-02-25T06:00:00Z,all_calibration,normal,True,False,True,2618.68,38625.49750000002,0.0030143246159992,-0.0017211495057889,39.83824400492515,49.53641441329154,95.55789920020602,1.0243933598713668
6463,6463,2022-02-25T07:00:00Z,all_calibration,normal,True,False,True,2627.639166666666,38705.58166666667,0.003415413775313,0.0020712033546921,37.723287779989555,51.183109137887456,95.21888516345275,1.0231384714868106
6464,6464,2022-02-25T08:00:00Z,all_calibration,normal,True,False,True,2609.1333333333328,38508.30249999999,-0.0070676777984886,-0.0051099513531429,44.17850757845392,67.76146733629751,105.53751701591742,1.024849631067113
6465,6465,2022-02-25T09:00:00Z,all_calibration,normal,True,False,True,2593.4908333333337,38378.684166666666,-0.0060133296717577,-0.0033716617530643,42.5436906705036,59.38429251003743,101.66525835677793,1.0426314208104357
6466,6466,2022-02-25T10:00:00Z,all_calibration,normal,True,False,True,2613.426666666667,38646.091666666674,0.0076574790163279,0.0069434431050758,34.36876475952369,48.30061214207051,83.42167102320052,1.0256318809398215
6467,6467,2022-02-25T11:00:00Z,all_calibration,normal,True,False,True,2618.2941666666657,38672.53333333332,0.0018607649603321,0.000683966319821,32.22361348022533,46.14669939621837,83.6925626520895,1.023911651792091
6468,6468,2022-02-25T12:00:00Z,all_calibration,normal,True,False,True,2667.0591666666655,39083.94916666668,0.018453405378195,0.0105822603965357,39.51577332105254,52.94263633844228,94.14027260306754,1.0322377517892336
6469,6469,2022-02-25T13:00:00Z,all_calibration,normal,True,False,True,2715.3366666666675,39523.74333333333,0.0179395184730157,0.0111897129032456,48.18276303030317,64.38013429928746,115.26879270161476,1.0222782824703918
6470,6470,2022-02-25T14:00:00Z,all_calibration,normal,True,False,True,2704.6866666666674,39453.78500000001,-0.0039298774383471,-0.0017716014442861,46.97566930550278,61.54053287695446,100.3483133557446,1.0501653352596902
6471,6471,2022-02-25T15:00:00Z,all_calibration,normal,True,False,True,2699.415000000001,39280.300833333335,-0.0019509878473735,-0.0044068447760512,52.46003925421889,80.54782846974156,121.249918699923,1.024238614538025
6472,6472,2022-02-25T16:00:00Z,all_calibration,normal,True,False,True,2724.710833333333,39462.0475,0.0093272234085297,0.0046162450894833,68.02506477488436,100.01788723605262,144.85772697870505,1.0558829840185135
6473,6473,2022-02-25T17:00:00Z,all_calibration,normal,True,False,True,2715.0233333333326,39310.05749999999,-0.0035617586979768,-0.003858985071341,71.58467863249948,101.07966143798616,165.9713209574374,1.0056779298789804
6474,6474,2022-02-25T18:00:00Z,all_calibration,stress,True,False,True,2689.560833333334,38954.73916666664,-0.0094226262768986,-0.0090799641644885,61.55802793954325,90.06381827983431,144.6760626297424,1.035102016328188
6475,6475,2022-02-25T19:00:00Z,all_calibration,normal,True,False,True,2688.8458333333333,38889.00833333334,-0.000265878000131,-0.0016887894292452,79.9476668431113,145.80207892051126,1193.5979868183351,1.0225565196591049
6476,6476,2022-02-25T20:00:00Z,all_calibration,normal,True,False,True,2694.0558333333324,38903.837500000016,0.0019357595399362,0.0003812475732818,115.41459838493672,443.0275676489912,2699.0413630462426,1.0395400301774207
6477,6477,2022-02-25T21:00:00Z,all_calibration,normal,True,False,True,2719.374166666667,39192.69166666664,0.0093539652083336,0.0073973961956586,77.12408582748353,97.4103942141025,160.96939600815742,1.0232008934809758
6478,6478,2022-02-25T22:00:00Z,all_calibration,normal,True,False,True,2714.0274999999997,39145.06583333335,-0.0019680740429128,-0.0012159102001607,71.24468658356861,114.61889625272757,155.03625295856037,1.0490763361336015
6479,6479,2022-02-25T23:00:00Z,all_calibration,normal,True,False,True,2785.056666666668,39539.94583333333,0.0258345262629111,0.010037065680903,70.6522846501379,104.43465679662982,162.4141507722685,0.9994359622541984
6480,6480,2022-02-26T00:00:00Z,all_calibration,normal,True,False,True,2791.3300000000004,39581.572499999995,0.0022499644858955,0.0010522212258852,60.54508006126384,77.25908735193093,127.2528294546236,1.0316124072571748
6481,6481,2022-02-26T01:00:00Z,all_calibration,normal,True,False,True,2827.1275,39921.761666666665,0.0127429937523348,0.008557911349424,50.48459300676887,65.3124459292742,121.70902838684611,1.0279324451829186
6482,6482,2022-02-26T02:00:00Z,all_calibration,normal,True,False,True,2817.4041666666667,39839.81666666666,-0.0034452257601493,-0.002054749430572,84.4851493801207,770.3870368134724,2856.0226853315653,1.029956050880757
6483,6483,2022-02-26T03:00:00Z,all_calibration,normal,True,False,True,2799.6641666666665,39721.9175,-0.0063164832363424,-0.0029637175257679,60.032635950674376,80.53609186580032,166.40784450755496,1.0243039852927327
6484,6484,2022-02-26T04:00:00Z,all_calibration,normal,True,False,True,2809.310000000001,39656.307499999995,0.0034394320799666,-0.0016530985655371,25.359426360669215,43.45558706331637,111.5847067260142,1.0125583553391029
6485,6485,2022-02-26T05:00:00Z,all_calibration,normal,True,False,True,2800.9816666666675,39416.92666666666,-0.0029689506163963,-0.0060546799975291,29.73019932815205,45.72257455998857,123.70779807867213,1.046302602131106
6486,6486,2022-02-26T06:00:00Z,all_calibration,normal,True,False,True,2786.755833333335,39238.709166666675,-0.0050918154508599,-0.0045315965751679,41.389573903026026,58.324009953628064,90.50218713841387,1.0291069678341742
6487,6487,2022-02-26T07:00:00Z,all_calibration,normal,True,False,True,2780.9016666666657,39133.01,-0.002102919881139,-0.0026973819606954,33.873251188389155,43.22270878720363,79.52749734689175,1.0219466944291815
6488,6488,2022-02-26T08:00:00Z,all_calibration,normal,True,False,True,2793.2275000000004,39322.30000000002,0.0044225216368527,0.0048254316323017,37.04639336591318,48.33834708019626,89.79183594694985,1.036495566220114
6489,6489,2022-02-26T09:00:00Z,all_calibration,stress,True,False,True,2760.0233333333335,39009.02,-0.0119586034803544,-0.0079988865337607,29.145618921569003,38.56977131829705,75.66098691613568,1.0223997319994924
6490,6490,2022-02-26T10:00:00Z,all_calibration,normal,True,False,True,2760.427500000001,38957.96750000002,0.0001464252393841,-0.0013095929170372,26.862780761909814,33.24566962718055,68.3457769897468,1.0324330247799154
6491,6491,2022-02-26T11:00:00Z,all_calibration,normal,True,False,True,2764.5850000000005,39047.85833333333,0.0015049742547041,0.0023047220425596,28.519839592175057,35.37106383573608,69.1384460290765,1.0316418887692442
6492,6492,2022-02-26T12:00:00Z,all_calibration,normal,True,False,True,2757.5366666666664,38956.32666666666,-0.0025527641679756,-0.0023468409721125,30.820520640552065,38.52911827476909,79.87800226168709,1.0328438660301602
6493,6493,2022-02-26T13:00:00Z,all_calibration,normal,True,False,True,2774.4091666666664,39135.97166666666,0.0061000424905968,0.0046008459406223,34.4089789968317,42.56142117068344,79.05543453602843,1.0304025539117536
6494,6494,2022-02-26T14:00:00Z,all_calibration,normal,True,False,True,2779.1633333333316,39192.75000000001,0.0017121115562996,0.0014497451782631,46.7661847115977,64.39167525669144,729.4569112706919,1.0344172038834192
6495,6495,2022-02-26T15:00:00Z,all_calibration,normal,True,False,True,2792.5241666666666,39331.57083333333,0.0047959828842536,0.0035357447599011,45.80752498419734,85.82918695074233,119.07348786906743,1.0301412650597992
6496,6496,2022-02-26T16:00:00Z,all_calibration,normal,True,False,True,2792.7883333333334,39258.1125,9.459333452355168e-05,-0.0018694147020479,42.978677450896825,58.59809457381498,89.25685880976711,1.028310011951005
6497,6497,2022-02-26T17:00:00Z,all_calibration,normal,True,False,True,2793.89,39233.011666666665,0.0003943905896184,-0.0006395840155306,35.730295479417464,47.6348991594424,69.44279168859363,1.0317784516882331
