arrival_pool_row_id,relative_hour,timestamp_utc,source_window,empirical_regime_label,liquidatable_vault_count,liquidatable_share,bark_count,grab_count,activity_indicator,positive_count_eligible,sequence_id
93,92,2022-05-08T20:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
94,93,2022-05-08T21:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
95,94,2022-05-08T22:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
96,95,2022-05-08T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
97,96,2022-05-09T00:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
98,97,2022-05-09T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
99,98,2022-05-09T02:00:00+0000,terra_cefi,terra_cefi,5,0.0010766580534022,1,1,1,1,
100,99,2022-05-09T03:00:00+0000,terra_cefi,terra_cefi,4,0.0008618832148243,0,0,0,0,
101,100,2022-05-09T04:00:00+0000,terra_cefi,terra_cefi,0,0.0,1,1,1,1,
102,101,2022-05-09T05:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
103,102,2022-05-09T06:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
104,103,2022-05-09T07:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
105,104,2022-05-09T08:00:00+0000,terra_cefi,terra_cefi,1,0.000215656674574,1,1,1,1,
106,105,2022-05-09T09:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
107,106,2022-05-09T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
108,107,2022-05-09T11:00:00+0000,terra_cefi,terra_cefi,9,0.0019425857975393,0,0,0,0,
109,108,2022-05-09T12:00:00+0000,terra_cefi,terra_cefi,2,0.0004317789291882,2,2,1,1,
110,109,2022-05-09T13:00:00+0000,terra_cefi,terra_cefi,2,0.0004320587599913,3,3,1,1,
111,110,2022-05-09T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
112,111,2022-05-09T15:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
113,112,2022-05-09T16:00:00+0000,terra_cefi,terra_cefi,6,0.0012978585334198,0,0,0,0,
114,113,2022-05-09T17:00:00+0000,terra_cefi,terra_cefi,17,0.0036780614452617,0,0,0,0,
115,114,2022-05-09T18:00:00+0000,terra_cefi,terra_cefi,14,0.003030303030303,5,5,1,1,
116,115,2022-05-09T19:00:00+0000,terra_cefi,terra_cefi,17,0.0036860364267129,2,2,1,1,
117,116,2022-05-09T20:00:00+0000,terra_cefi,terra_cefi,3,0.0006510416666666,7,7,1,1,
118,117,2022-05-09T21:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
119,118,2022-05-09T22:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
120,119,2022-05-09T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
121,120,2022-05-10T00:00:00+0000,terra_cefi,terra_cefi,11,0.002391304347826,0,0,0,0,
122,121,2022-05-10T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,3,3,1,1,
123,122,2022-05-10T02:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
124,123,2022-05-10T03:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
