cell_identifier,recovery_path,confidence_scenario,metric,replication_count,mean,standard_error,ci_lower,ci_upper,median,q25,q75,q05,q95,censoring_share,numerical_valid_count
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,recovery_probability_336h,128,0.3671875,0.042773974706069945,0.2833505095761029,0.4510244904238971,0.0,0.0,1.0,0.0,1.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,minimum_dai_price,128,0.7034195826510512,0.02102638625256511,0.6622078655960236,0.7446312997060788,0.5,0.5,0.9956557158814922,0.5,0.9969418619707658,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,maximum_negative_peg_deviation,128,0.2965804173489487,0.021026386252565112,0.25536870029392106,0.3377921344039763,0.5,0.004344284118507874,0.5,0.003058138029234175,0.5,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,mean_absolute_peg_deviation,128,0.18366576110623167,0.015660567436325174,0.15297104893103433,0.21436047328142901,0.1595846750878479,0.0007200021394727096,0.3760712112254031,0.0005788735253056766,0.39736147160513335,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,hours_below_0995,128,352.375,27.74312268471616,297.9984795379563,406.7515204620437,369.5,0.0,693.25,0.0,710.3,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,hours_above_1005,128,0.078125,0.04239591092069228,-0.004970985404556871,0.16122098540455687,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,first_return_time,128,344.8125,30.228494889710337,285.5646500161677,404.0603499838323,200.5,0.0,720.0,0.0,720.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,failed_recovery_attempts,128,0.3125,0.057368044412242594,0.20005863295200452,0.42494136704799546,0.0,0.0,0.0,0.0,2.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,final_dai_price,128,0.7046605989105086,0.02116259272444143,0.6631819171706034,0.7461392806504138,0.5,0.5,0.999176949229883,0.5,1.0004903991723975,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,final_peg_band_status,128,0.34375,0.0421457853694702,0.2611442606758384,0.4263557393241616,0.0,0.0,1.0,0.0,1.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,peak_liquidatable_vaults,128,99.625,0.05433926670016637,99.51849503726767,99.73150496273233,100.0,99.0,100.0,98.0,100.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,peak_share_liquidatable,128,0.9962500000000001,0.0005433926670016644,0.9951849503726768,0.9973150496273233,1.0,0.99,1.0,0.98,1.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,cumulative_debt_repaid_dai,128,496354.1397514249,1007.4918230515577,494379.45577824384,498328.82372460596,496922.0353552569,489436.4204032974,503550.28510830115,477337.64880826883,517693.6199686851,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,completed_liquidation_count,128,99.625,0.05433926670016637,99.51849503726767,99.73150496273233,100.0,99.0,100.0,98.0,100.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,unprofitable_attempt_count,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,capacity_rejected_opportunities,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,unresolved_tab_at_horizon_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,active_bad_debt_at_horizon_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,maximum_active_bad_debt_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,keeper_profit_dai,128,54563.53816768524,129.9635188751455,54308.80967068996,54818.26666468052,54623.933415171974,53626.73465242867,55461.53706407916,52091.68998128761,57300.17059592907,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,minimum_confidence,128,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,mean_confidence_loss,128,0.1425292500329661,0.00870936360977566,0.1254588973578058,0.1595996027081264,0.15177049516789265,0.03440274320221916,0.24980015542047582,0.025963307740603497,0.24992552426187564,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,hours_at_confidence_floor,128,373.078125,27.598719126315675,318.9846355124213,427.1716144875787,392.0,22.0,718.0,22.0,719.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,hours_recovery_gate_closed,128,354.109375,27.702651744517645,299.8121775807454,408.4065724192546,368.5,0.0,693.25,0.0,711.3,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,first_recovery_gate_open,128,11.25,7.9235706875716625,-4.280198547640458,26.78019854764046,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,recovery_gate_reopenings,128,0.0625,0.021479481144483458,0.02040021695681242,0.10459978304318758,0.0,0.0,0.0,0.0,1.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,cumulative_panic_contribution,128,22.68085074198993,1.940664604570662,18.87714811703143,26.484553366948425,19.660202799534687,0.017070267743651318,46.5291951393586,0.007145754111375577,49.16871382315923,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,maximum_panic_contribution,128,0.05092985183880119,0.003629237583934837,0.043816546174288915,0.05804315750331347,0.086079375,0.0005781475243625343,0.086079375,0.00025552208503343233,0.086079375,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,confidence_at_horizon,128,0.8255593026861916,0.00944655937675712,0.8070440463077476,0.8440745590646356,0.75,0.75,0.9574033521257387,0.75,0.9977144784079449,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,below_peg_burden,128,349.1368978734358,2.9427196530692794,343.36916735342004,354.9046283934516,353.92415751794806,351.2017002703138,355.3007785221172,343.4711255580315,360.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,restricted_mean_recovery_time,128,714.59375,5.406249999999999,703.9975,725.19,720.0,720.0,720.0,720.0,720.0,0.9921875,128
persistent_trough__confidence_central,persistent_trough,confidence_central,recovery_probability_168h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,recovery_probability_720h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,maximum_unresolved_tab_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,cumulative_realised_bad_debt_dai,128,8.246528460098546e-13,5.574898038659731e-14,7.153848444521239e-13,9.339208475675853e-13,5.062616992290714e-13,5.062616992290714e-13,1.0125233984581428e-12,0.0,2.0250467969162855e-12,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,recovery_probability_48h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,recovery_probability_336h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,minimum_dai_price,128,0.5038731802184002,0.0038731802184001616,0.4962817469903359,0.5114646134464645,0.5,0.5,0.5,0.5,0.5,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,maximum_negative_peg_deviation,128,0.49612681978159984,0.0038731802184001616,0.4885353865535355,0.5037182530096641,0.5,0.5,0.5,0.5,0.5,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,mean_absolute_peg_deviation,128,0.48491780190418776,0.004084642292128076,0.47691190301161673,0.4929237007967588,0.49156132988603896,0.4877850243424776,0.49347330350294055,0.4770778328174669,0.5,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,hours_below_0995,128,704.765625,5.911351813474837,693.1793754455894,716.3518745544106,715.5,710.0,718.0,695.05,720.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,hours_above_1005,128,0.015625,0.015625,-0.015,0.04625,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,first_return_time,128,714.3828125,5.6171875,703.373125,725.3925,720.0,720.0,720.0,720.0,720.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,failed_recovery_attempts,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,final_dai_price,128,0.5039033313286055,0.0039033313286055316,0.4962528019245387,0.5115538607326724,0.5,0.5,0.5,0.5,0.5,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,final_peg_band_status,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,peak_liquidatable_vaults,128,99.625,0.05433926670016637,99.51849503726767,99.73150496273233,100.0,99.0,100.0,98.0,100.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,peak_share_liquidatable,128,0.9962500000000001,0.0005433926670016644,0.9951849503726768,0.9973150496273233,1.0,0.99,1.0,0.98,1.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,cumulative_debt_repaid_dai,128,496354.1397514249,1007.4918230515577,494379.45577824384,498328.82372460596,496922.0353552569,489436.4204032974,503550.28510830115,477337.64880826883,517693.6199686851,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,completed_liquidation_count,128,99.625,0.05433926670016637,99.51849503726767,99.73150496273233,100.0,99.0,100.0,98.0,100.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,unprofitable_attempt_count,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,capacity_rejected_opportunities,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
