pool_row_id,source_window,regime_label,state_label,timestamp_utc,ilk,collateral_family,debt_dai,collateral_ratio,liquidation_ratio,absolute_buffer,relative_buffer
tranche_b_pool_000060,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000061,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000062,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000063,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000064,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000065,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000066,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000067,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000068,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000069,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000070,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000071,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000072,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000073,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,15.056662992544904,1.45,13.606662992544905,9.383905512099934
tranche_b_pool_000074,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,16.189960207037533,1.45,14.739960207037534,10.16548979795692
