cell_order,cell_identifier,anchor,portfolio,shock,capacity,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,7,successful_closure_count,operational,-1,128,4.1796875,0.9853399825039156,2.2484211342923253,6.110953865707675,0.0,0.0,0.0,2.0,13.299999999999997,25.199999999999932,0.3125
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,8,liquidated_debt_share,operational,-1,128,0.010240531467429322,0.0033647776657824086,0.003645567242495801,0.016835495692362843,0.0,0.0,0.0,0.0003814964122954016,0.010353158861666453,0.08006145589216047,0.3125
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,9,debt_weighted_liquidated_vault_share,operational,-1,128,0.010240531467429322,0.0033647776657824086,0.003645567242495801,0.016835495692362843,0.0,0.0,0.0,0.0003814964122954016,0.010353158861666453,0.08006145589216047,0.3125
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,10,hours_with_positive_unresolved_backlog,operational,1,128,7.234375,2.0830589037592073,3.151579548631954,11.317170451368046,0.0,0.0,0.0,2.25,20.599999999999994,35.64999999999999,0.2890625
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,11,capacity_binding_hours,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,12,mean_capacity_utilisation,operational,1,128,0.0003868689903846154,9.303633103361802e-05,0.0002045177815587241,0.0005692201992105068,0.0,0.0,0.0,0.0001201923076923077,0.0008867521367521365,0.002962072649572644,0.3125
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,13,maximum_capacity_utilisation,operational,1,128,0.061899038461538464,0.011661736543498898,0.039042034836280624,0.0847560420867963,0.0,0.0,0.0,0.07692307692307693,0.20384615384615376,0.33269230769230734,0.3125
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,14,mean_positive_demand_utilisation,operational,1,128,0.028612989532895594,0.004514426759845884,0.01976471308359766,0.03746126598219353,0.0,0.0,0.0,0.04918139293139293,0.11331360946745561,0.11866300366300367,0.3125
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,15,positive_demand_binding_share,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,16,all_hour_binding_share,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
