cell_order,cell_identifier,anchor,portfolio,shock,capacity,family_order,family,metric_order,metric,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,10,backlog_area,128,27950.904682047425,9094.797051898231,10125.102460326892,45776.70690376796,0.0,0.0,0.0,10247.142776385996,56717.354260157976,140063.87828785132,0.359375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,11,maximum_backlog,128,6629.529294673165,1746.1133492046592,3207.1471302320333,10051.911459114297,0.0,0.0,0.0,2900.331305391289,17972.758840658316,37459.548038267734,0.359375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,12,terminal_active_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,13,realised_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,14,keeper_profit_proxy,128,1408.3027881145665,366.4550586465326,690.0508731673626,2126.5547030617704,0.0,0.0,0.0,642.3238557007917,3770.206541409643,9230.323108130902,0.375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,15,share_system_capacity_consumed,78,0.1184655100411506,0.02307815595900786,0.07323232436149521,0.163698695720806,0.0531015037593985,0.0,0.0,0.12777777777777777,0.26499999999999985,0.5249999999999986,0.6153846153846154
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,16,share_system_rejections,11,0.009881422924901186,0.006788760489058367,-0.0034245476336532132,0.023187393483455585,0.0,0.0,0.0,0.0,0.043478260869565216,0.05434782608695652,0.18181818181818182
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,17,contribution_to_system_backlog,74,0.1873310252848839,0.03150693098960782,0.12557744054525258,0.24908461002451524,0.056468020420977524,0.0,0.0,0.3038472546363154,0.5186099949735411,0.9015708368469837,0.6216216216216216
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,18,exposure_normalised_backlog,128,0.07374622496812203,0.02399589412429601,0.026714272484501846,0.12077817745174221,0.0,0.0,0.0,0.02703626609099343,0.14964419987281427,0.3695473329261457,0.359375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,19,exposure_normalised_unresolved_tab,128,3.3471346179393576e-06,3.347134617939356e-06,-3.21324923322178e-06,9.907518469100496e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125
