capacity_profile,capacity,confidence_scenario,contrast,metric,paired_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_positive_count,discordant_negative_count
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,maximum_negative_peg_deviation,128,-0.0271167626139,0.0100011992909,-0.0467191132241,-0.00751441200362,0,-0.321321481693,0,0,0,0,-0.497044511673,0,0,0,8
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,mean_absolute_peg_deviation,128,-0.0202305402557,0.00665254673063,-0.0332695318477,-0.00719154866364,0,-0.274113511296,0,0,0,0,-0.342754247427,0,0,0,19
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,hours_below_0995,128,-37.8125,12.5952705531,-62.499230284,-13.125769716,0,-502.8,0,0,0,0,-647,0,0,0,12
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,hours_above_1005,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,first_return_time,128,-20.3671875,13.9905887549,-47.7887414595,7.05436645951,0,-91.25,0,0,0,0,-720,622,0.015625,2,8
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,failed_recovery_attempts,128,-0.015625,0.015625,-0.04625,0.015,0,0,0,0,0,0,-1,1,0.0078125,1,3
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,recovery_probability_168h,128,0.0390625,0.0171919732905,0.00536623235069,0.0727587676493,0,0,0,0,0,0,0,1,0.0390625,5,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,recovery_probability_336h,128,0.0390625,0.0171919732905,0.00536623235069,0.0727587676493,0,0,0,0,0,0,0,1,0.0390625,5,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,recovery_probability_720h,128,0.046875,0.018756150566,0.0101129448906,0.0836370551094,0,0,0,0,0,0,0,1,0.046875,6,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,final_dai_price,128,0.0273401925013,0.0100865775378,0.00757050052715,0.0471098844754,0,0,0,0,0,0.324231896361,0,0.50117131172,0.0546875,7,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,final_peg_band_status,128,0.0546875,0.0201757586952,0.0151430129574,0.0942319870426,0,0,0,0,0,0.65,0,1,0.0546875,7,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,minimum_confidence,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,mean_confidence_loss,128,-0.0128943341729,0.0041155457628,-0.020960803868,-0.00482786447781,0,-0.163092928153,0,0,0,0,-0.209472506524,0,0,0,19
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,confidence_at_horizon,128,0.0125068995356,0.00464136887192,0.00340981654664,0.0216039825245,0,0,0,0,0,0.112635448902,0,0.249568278548,0.0546875,7,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,hours_at_confidence_floor,128,-41.4609375,13.2232305647,-67.3784694069,-15.5434055931,0,-520.4,0,0,0,0,-660,0,0,0,19
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,hours_recovery_gate_closed,128,-41.140625,13.1429795036,-66.9008648271,-15.3803851729,0,-520.05,0,0,0,0,-660,0,0,0,21
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,first_recovery_gate_open,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,recovery_gate_reopenings,128,0.1015625,0.0290088987967,0.0447050583584,0.158419941642,0,0,0,0,0,1,0,2,0.09375,12,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_panic_contribution,128,-2.50695352522,0.824283173697,-4.12254854567,-0.891358504776,0,-33.9636714726,0,0,0,0,-42.472858043,0,0,0,19
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,maximum_panic_contribution,128,-0.0046778791523,0.00172464127555,-0.00805817605238,-0.00129758225223,0,-0.0555124831507,0,0,0,0,-0.0856871629647,0,0,0,10
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,paired_liquidations_avoided,128,31.953125,1.06389494898,29.8678909,34.0383591,32,13,22.75,41,47.3,51,8,62,1,128,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,paired_additional_liquidations,128,0.015625,0.015625,-0.015,0.04625,0,0,0,0,0,0,0,2,0.0078125,1,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,paired_avoided_debt_dai,128,7213.86534133,504.29387039,6225.44935536,8202.28132729,6331.52611658,1378.36536341,3646.43992583,8460.2145719,13304.0433509,16449.2071365,718.728155542,41009.2981633,1,128,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,paired_additional_debt_dai,128,0.354171445056,0.354171445056,-0.340004587254,1.04834747737,0,0,0,0,0,0,0,45.3339449672,0.0078125,1,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,closure_time_difference_mean,128,-1.47543523647,0.111404820884,-1.69378868541,-1.25708178754,-1.19128100972,-3.77582605858,-2.00998931624,-0.652264381885,-0.0661616161616,0.0238487750967,-7.83870967742,0.436781609195,0.0625,8,120
shared_keeper_capacity_low,14,confidence_central,full_week - persistent_trough,backlog_area_dai_hours,128,-203359.78925,16139.1455184,-234992.514467,-171727.064034,-162949.4427,-471858.582384,-260909.628169,-92946.8317881,-44558.7466422,-22333.9602973,-1563254.54962,-7313.47366029,0,0,128
