record_type,recovery_path,capacity_profile,capacity,confidence_scenario,metric,replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
within_cell,full_week,shared_keeper_capacity_central,26,confidence_fragile,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_central,26,confidence_fragile,recovered_before_execution,128,20.328125,0.930013372964,18.505298789,22.150951211,20,4.35,12,27.25,33,38.3,1,55,1
within_cell,full_week,shared_keeper_capacity_central,26,confidence_fragile,recovered_before_closure,128,26.1171875,1.15546145668,23.8524830449,28.3818919551,24.5,6.35,16,34.25,45,48,1,56,1
within_cell,full_week,shared_keeper_capacity_central,26,confidence_fragile,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_high,45,stage1_only,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_high,45,stage1_only,recovered_before_execution,128,17.921875,0.975626273663,16.0096475036,19.8341024964,17,3,10,24,31.3,38.3,0,55,0.984375
within_cell,full_week,shared_keeper_capacity_high,45,stage1_only,recovered_before_closure,128,24.390625,1.21881545731,22.0017467037,26.7795032963,22,5,14,34.25,44,47.65,0,56,0.9921875
within_cell,full_week,shared_keeper_capacity_high,45,stage1_only,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_high,45,confidence_resilient,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_high,45,confidence_resilient,recovered_before_execution,128,17.921875,0.975626273663,16.0096475036,19.8341024964,17,3,10,24,31.3,38.3,0,55,0.984375
within_cell,full_week,shared_keeper_capacity_high,45,confidence_resilient,recovered_before_closure,128,24.390625,1.21881545731,22.0017467037,26.7795032963,22,5,14,34.25,44,47.65,0,56,0.9921875
within_cell,full_week,shared_keeper_capacity_high,45,confidence_resilient,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_high,45,confidence_central,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_high,45,confidence_central,recovered_before_execution,128,17.921875,0.975626273663,16.0096475036,19.8341024964,17,3,10,24,31.3,38.3,0,55,0.984375
within_cell,full_week,shared_keeper_capacity_high,45,confidence_central,recovered_before_closure,128,24.390625,1.21881545731,22.0017467037,26.7795032963,22,5,14,34.25,44,47.65,0,56,0.9921875
within_cell,full_week,shared_keeper_capacity_high,45,confidence_central,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_high,45,confidence_fragile,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_high,45,confidence_fragile,recovered_before_execution,128,17.921875,0.975626273663,16.0096475036,19.8341024964,17,3,10,24,31.3,38.3,0,55,0.984375
within_cell,full_week,shared_keeper_capacity_high,45,confidence_fragile,recovered_before_closure,128,24.390625,1.21881545731,22.0017467037,26.7795032963,22,5,14,34.25,44,47.65,0,56,0.9921875
within_cell,full_week,shared_keeper_capacity_high,45,confidence_fragile,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
