contrast_type,shock,portfolio,left_portfolio,right_portfolio,contrast,metric,direction_multiplier,operationality,reversal_flag,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,paired_probability_difference,discordant_left_one_right_zero,discordant_left_zero_right_one,empirical_discordant_left_one_right_zero,empirical_discordant_left_zero_right_one,high_correlation_discordant_left_one_right_zero,high_correlation_discordant_left_zero_right_one
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,positive_realised_bad_debt,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,active_bad_debt_share,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,unresolved_tab_share,1,operational,,128,-0.0272967188861,0.00528124155766,-0.0376479523391,-0.0169454854331,-0.00151347543682,-0.150694102673,-0.0200326710663,0,0.000129252295637,0.00424575318065,-0.339296626697,0.0729012569311,0.125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,backlog_area_share,1,operational,,128,-0.0802007547777,0.0151688631163,-0.109931726486,-0.0504697830696,-0.00795332750157,-0.448043890805,-0.0716143145563,0,7.18374182276e-05,0.0161696849464,-0.973705344418,0.344204514033,0.1171875,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,liquidated_debt_share,1,operational,,128,-0.0407067476504,0.00707544686534,-0.0545746235064,-0.0268388717943,-0.00219288746241,-0.21259845254,-0.0382633168517,0,0.000222885584357,0.00716279668912,-0.415026802978,0.0522809183843,0.1328125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,debt_weighted_liquidated_vault_share,1,operational,,128,-0.0407067476504,0.00707544686534,-0.0545746235064,-0.0268388717943,-0.00219288746241,-0.21259845254,-0.0382633168517,0,0.000222885584357,0.00716279668912,-0.415026802978,0.0522809183843,0.1328125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,successful_closure_count,1,operational,,128,-9.40625,1.01006484526,-11.3859770967,-7.42652290329,-6,-33.65,-14.5,0,0,3,-44,10,0.09375,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,capacity_rejected_opportunities,1,operational,,128,-0.125,0.0627455805138,-0.247981337807,-0.00201866219292,0,0,0,0,0,0,-6,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,below_peg_burden,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,mean_absolute_peg_deviation,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,minimum_dai_price,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,restricted_mean_recovery_time,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,recovery_probability_720h,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,realised_bad_debt_share,1,degenerate,,128,-8.89148573577e-22,5.82162079765e-22,-2.03018624992e-21,2.51889102763e-22,0,0,0,0,0,0,-4.77638583406e-20,3.34822313381e-20,0.0078125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,positive_realised_bad_debt,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,active_bad_debt_share,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,unresolved_tab_share,1,operational,,128,-0.0290079091344,0.00520448235561,-0.0392086945514,-0.0188071237174,-0.00218296727735,-0.146756077492,-0.0230607211005,-0.000116679805604,0,0,-0.339870814194,0.010828257049,0.046875,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,backlog_area_share,1,operational,,128,-0.0919225308139,0.0172250829264,-0.12568369335,-0.0581613682781,-0.0149883233826,-0.473729763868,-0.0942314107903,-0.000860255575227,0,0,-1.03741331692,0.78254173173,0.015625,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,liquidated_debt_share,1,operational,,128,-0.0440692320563,0.00700433004144,-0.0577977189375,-0.030340745175,-0.00577214058673,-0.206245039371,-0.0535487137113,-0.000493358370811,0,0,-0.458166643714,0.0378457810705,0.03125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,debt_weighted_liquidated_vault_share,1,operational,,128,-0.0440692320563,0.00700433004144,-0.0577977189375,-0.030340745175,-0.00577214058673,-0.206245039371,-0.0535487137113,-0.000493358370811,0,0,-0.458166643714,0.0378457810705,0.03125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,successful_closure_count,1,operational,,128,-11.8984375,1.09775853432,-14.0500442273,-9.74683077273,-9,-35.65,-19.25,-1,0,0,-50,1,0.0234375,,,,,,,
