cell_order,cell_identifier,shock,portfolio,metric,operationality,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,below_peg_burden,operational,128,0.259221364818,0.00398858692742,0.251403734441,0.267038995196,0.256866542563,0.186831435274,0.229567820657,0.287465585978,0.321133194591,0.333773855718,0.169592671946,0.3660592687,1,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,mean_absolute_peg_deviation,operational,128,0.000597776317663,6.48969732964e-06,0.000585056510897,0.000610496124429,0.000598598295043,0.000480357965518,0.000543822104482,0.000650833506567,0.000688361539265,0.000705718932085,0.000451994174648,0.000777779452119,1,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,minimum_dai_price,operational,128,0.995900137163,8.27849633965e-05,0.995737878635,0.996062395691,0.996022725003,0.994221015378,0.995450942213,0.996497114171,0.997075999089,0.997322188442,0.993388961094,0.997754896723,1,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,restricted_mean_recovery_time,operational,128,82.4453125,17.3555335089,48.4284668225,116.462158178,0,0,0,0,375.3,624.25,0,720,0.1875,2,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,recovery_probability_720h,operational,128,0.984375,0.0110049592883,0.962805279795,1.00594472021,1,1,1,1,1,1,0,1,0.984375,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,positive_demand_hours,diagnostic,128,5.6875,1.03064211981,3.66744144517,7.70755855483,1,0,0,5.25,16.3,22.95,0,73,0.6015625,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,binding_hours,diagnostic,128,0.0078125,0.0078125,-0.0075,0.023125,0,0,0,0,0,0,0,1,0.0078125,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,mean_capacity_utilisation,diagnostic,128,0.00076664329594,0.00013541956131,0.000501220955772,0.00103206563611,0.000106837606838,0,0,0.000801282051282,0.00231303418803,0.00339476495726,0,0.0090811965812,0.6015625,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,maximum_capacity_utilisation,diagnostic,128,0.133112980769,0.0165881011417,0.100600302532,0.165625659007,0.0384615384615,0,0,0.230769230769,0.396153846154,0.525,0,1,0.6015625,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,maximum_simultaneously_unsafe_families,diagnostic,128,0.90625,0.0739405984984,0.761326426943,1.05117357306,1,0,0,2,2,2,0,2,0.6015625,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,maximum_backlog_duration,diagnostic,128,11.2890625,2.1465486955,7.08182705683,15.4962979432,1.5,0,0,12.75,30.2,40.65,0,156,0.53125,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,hours_one_unsafe_family,diagnostic,128,13.4609375,2.60167038124,8.36166355278,18.5602114472,2,0,0,15.25,37.9,54.65,0,199,0.5859375,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,hours_at_least_two_unsafe_families,diagnostic,128,3.1328125,0.61261057713,1.93209576883,4.33352923117,0,0,0,1.25,12.3,16.95,0,41,0.3046875,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,hours_all_applicable_volatile_families_unsafe,diagnostic,128,3.1328125,0.61261057713,1.93209576883,4.33352923117,0,0,0,1.25,12.3,16.95,0,41,0.3046875,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,hours_eth_wbtc_simultaneously_unsafe,diagnostic,128,3.1328125,0.61261057713,1.93209576883,4.33352923117,0,0,0,1.25,12.3,16.95,0,41,0.3046875,0,0
