contrast_family,setting,metric,operationality,materiality,sign_relative_to_core,raw_paired_mean,direction_normalised_advantage,count,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p95
R-C,market_block_336,backlog_area_share,operational,material,retained,-0.07515852313594873,0.07515852313594873,64,0.035194209695181625,0.006177872133392742,0.14413917413850472,-0.0,0.0,-0.0,0.0022171320735247116,0.3952221428227032
R-C,market_block_336,liquidated_debt_share,operational,material,retained,-0.022862555208640965,0.022862555208640965,64,0.008326013305478667,0.006543569129902779,0.03918154128737915,-0.0,0.0,-0.0,0.0019985799605336347,0.19404378833869712
R-C,market_block_336,maximum_unresolved_tab_share,operational,material,retained,-0.017269091682664807,0.017269091682664807,64,0.006897572153196528,0.003749850262399613,0.03078833310293,-0.0,0.0,-0.0,0.0006346064674451128,0.11608030387883095
R-C,keeper_hurdle_low,backlog_area_share,operational,material,retained,-0.07695512312179695,0.07695512312179695,64,0.026612749414537822,0.02479413426930282,0.12911611197429107,-0.0,0.0,-0.0,0.010186091806216739,0.6609788429168202
R-C,keeper_hurdle_low,liquidated_debt_share,operational,material,retained,-0.027422356324215823,0.027422356324215823,64,0.011692090508792911,0.0045058589269817186,0.05033885372144993,-0.0,0.0,-0.0,0.00291483549898357,0.1872046121580371
R-C,keeper_hurdle_low,maximum_unresolved_tab_share,operational,material,retained,-0.013190384264837618,0.013190384264837618,64,0.00559355084883932,0.0022270246011125514,0.024153743928562683,-0.0,0.0,-0.0,0.0017242435306563785,0.06269260746372365
R-C,keeper_hurdle_high,backlog_area_share,operational,material,retained,-0.16413014101087836,0.16413014101087836,64,0.052438395246372504,0.061350886327988255,0.2669093956937685,-0.0,0.0,-0.0,0.03889886356756666,1.5171564691626598
R-C,keeper_hurdle_high,liquidated_debt_share,operational,material,retained,-0.026975064211615815,0.026975064211615815,64,0.011655769891883681,0.004129755223523799,0.049820373199707835,-0.0,0.0,-0.0,0.002230449100013761,0.1842730697341067
R-C,keeper_hurdle_high,maximum_unresolved_tab_share,operational,material,retained,-0.013888886788817487,0.013888886788817487,64,0.005645343334121152,0.0028240138539400283,0.024953759723694943,-0.0,0.0,-0.0,0.0026177417038462376,0.07361249898799692
R-D,baseline,backlog_area_share,operational,material,retained,-0.010413319412205304,0.010413319412205304,64,0.005173850069995442,0.000272573275014237,0.020554065549396372,-0.0,0.0,-0.0,0.0,0.03637107171345673
R-D,baseline,liquidated_debt_share,operational,material,retained,-0.005295988721251123,0.005295988721251123,64,0.0023671125334476144,0.0006564481556937986,0.009935529286808447,-0.0,0.0,-0.0,0.0,0.04777984204111842
R-D,baseline,maximum_unresolved_tab_share,operational,material,retained,-0.0026908079261539746,0.0026908079261539746,64,0.001380239354401488,-1.4461208472941935e-05,0.005396077060780892,-0.0,0.0,-0.0,0.0,0.011247090911506663
R-D,baseline,stable_attributed_liquidated_debt_share,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,baseline,stable_exposure_normalised_liquidated_debt,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,population_250,backlog_area_share,operational,material,retained,0.01778921555917744,-0.01778921555917744,64,0.023894318054758872,-0.06462207894650483,0.029043647828149947,-0.0,0.0,-0.0,0.0,0.0006725873181776123
R-D,population_250,liquidated_debt_share,operational,material,retained,-0.002559219618506206,0.002559219618506206,64,0.002705033450614081,-0.0027426459446973925,0.007861085181709804,-0.0,0.0,-0.0,0.0,0.0009221639888717199
R-D,population_250,maximum_unresolved_tab_share,operational,material,retained,-0.000634476282716625,0.000634476282716625,64,0.0022390160406210065,-0.0037539951569005472,0.005022947722333797,-0.0,0.0,-0.0,0.0,0.0006254376843423499
R-D,population_250,stable_attributed_liquidated_debt_share,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,population_250,stable_exposure_normalised_liquidated_debt,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,population_1000,backlog_area_share,operational,material,retained,-0.022510933852427584,0.022510933852427584,64,0.009182791557535843,0.004512662399657332,0.04050920530519783,-0.0,0.0,-0.0,0.0,0.24856603210645878
R-D,population_1000,liquidated_debt_share,operational,material,retained,-0.009515194543406767,0.009515194543406767,64,0.003756835815487986,0.002151796345050314,0.016878592741763218,-0.0,0.0,-0.0,0.0,0.10097758392842911
R-D,population_1000,maximum_unresolved_tab_share,operational,material,retained,-0.004891706751038075,0.004891706751038075,64,0.0021440903327876962,0.0006892896987741905,0.009094123803301959,-0.0,0.0,-0.0,0.0,0.023343274352337785
R-D,population_1000,stable_attributed_liquidated_debt_share,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,population_1000,stable_exposure_normalised_liquidated_debt,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,market_block_72,backlog_area_share,operational,material,retained,-0.011392274035573772,0.011392274035573772,64,0.009430215096430048,-0.007090947553429124,0.02987549562457667,-0.0,0.0,-0.0,0.0,0.004809447471798992
R-D,market_block_72,liquidated_debt_share,operational,material,retained,-0.0032523444743879377,0.0032523444743879377,64,0.0017949633668771095,-0.00026578372469119715,0.0067704726734670725,-0.0,0.0,-0.0,0.0,0.004620440532794087
R-D,market_block_72,maximum_unresolved_tab_share,operational,material,retained,-0.001773091617406645,0.001773091617406645,64,0.0011216197611938943,-0.0004252831145333878,0.003971466349346678,-0.0,0.0,-0.0,0.0,0.0036302217974706875
R-D,market_block_72,stable_attributed_liquidated_debt_share,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,market_block_72,stable_exposure_normalised_liquidated_debt,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,market_block_336,backlog_area_share,operational,material,retained,-0.0014291434641325678,0.0014291434641325678,64,0.0011931368753721268,-0.0009094048115968006,0.003767691739861936,-0.0,0.0,-0.0,0.0,0.0023414803164871463
R-D,market_block_336,liquidated_debt_share,operational,material,retained,-0.0009909903128982119,0.0009909903128982119,64,0.0008677680427305117,-0.0007098350508535911,0.002691815676650015,-0.0,0.0,-0.0,0.0,0.0003726127961970213
R-D,market_block_336,maximum_unresolved_tab_share,operational,material,retained,9.656552153415043e-05,-9.656552153415043e-05,64,0.00021633007110741172,-0.0005205724609046773,0.00032744141783637654,-0.0,0.0,-0.0,0.0,0.00027859738673895006
R-D,market_block_336,stable_attributed_liquidated_debt_share,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,market_block_336,stable_exposure_normalised_liquidated_debt,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,keeper_hurdle_low,backlog_area_share,operational,material,retained,-0.014367094293618404,0.014367094293618404,64,0.007200895557829374,0.00025333900027283036,0.02848084958696398,-0.0,0.0,-0.0,0.0,0.071662747008949
R-D,keeper_hurdle_low,liquidated_debt_share,operational,material,retained,-0.005263292699491004,0.005263292699491004,64,0.002357008807523758,0.000643555436744438,0.00988302996223757,-0.0,0.0,-0.0,0.0,0.04676318564804021
R-D,keeper_hurdle_low,maximum_unresolved_tab_share,operational,material,retained,-0.002705342193105005,0.002705342193105005,64,0.0013781557206520231,4.1569806270395915e-06,0.00540652740558297,-0.0,0.0,-0.0,0.0,0.011247090911506663
R-D,keeper_hurdle_low,stable_attributed_liquidated_debt_share,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,keeper_hurdle_low,stable_exposure_normalised_liquidated_debt,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,keeper_hurdle_high,backlog_area_share,operational,material,retained,-0.03441372590623316,0.03441372590623316,64,0.016591003647467475,0.001895358757196909,0.0669320930552694,-0.0,0.0,-0.0,0.0,0.2585317677592538
R-D,keeper_hurdle_high,liquidated_debt_share,operational,material,retained,-0.005140414146822307,0.005140414146822307,64,0.002309370509343579,0.0006140479485088925,0.009666780345135722,-0.0,0.0,-0.0,0.0,0.04444383655806879
R-D,keeper_hurdle_high,maximum_unresolved_tab_share,operational,material,retained,-0.0027865208374201434,0.0027865208374201434,64,0.0014090718976044914,2.473991811534045e-05,0.005548301756724947,-0.0,0.0,-0.0,0.0,0.011247090911506663
R-D,keeper_hurdle_high,stable_attributed_liquidated_debt_share,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
R-D,keeper_hurdle_high,stable_exposure_normalised_liquidated_debt,degenerate,immaterial,retained,0.0,0.0,64,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
