cell_order,cell_identifier,shock,portfolio,metric,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,liquidated_debt_share,128,0.0120005155465,0.0035783053319,0.00498703709595,0.019013993997,0,0,0,0.00118119365588,0.029853327816,0.0688887602815,0,0.253977114486,0.4296875,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,debt_weighted_liquidated_vault_share,128,0.0120005155465,0.0035783053319,0.00498703709595,0.019013993997,0,0,0,0.00118119365588,0.029853327816,0.0688887602815,0,0.253977114486,0.4296875,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,successful_closure_count,128,5.6015625,1.39071813449,2.8757549564,8.3273700436,0,0,0,4,12,29.5,0,126,0.4296875,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,capacity_rejected_opportunities,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,below_peg_burden,128,0.26560363519,0.00454375447907,0.256697876411,0.274509393969,0.254728497773,0.189281453855,0.232235770874,0.299472255215,0.332279117942,0.348203949937,0.155835511292,0.423072833411,1,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,mean_absolute_peg_deviation,128,0.000614587264255,6.67212632206e-06,0.000601509896664,0.000627664631846,0.00061630151029,0.000482684860298,0.000561703447088,0.000657458893457,0.000723641570608,0.000760465596399,0.000445143471598,0.000781800612311,1,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,minimum_dai_price,128,0.995938327338,8.56288888862e-05,0.995770494716,0.99610615996,0.996036108228,0.994228414818,0.995192536345,0.996519817597,0.997253210565,0.997434173715,0.993694577318,0.997842442371,1,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,restricted_mean_recovery_time,128,62.2734375,13.9068439772,35.0160233048,89.5308516952,0,0,0,0,318.2,473.65,0,720,0.1796875,1,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,recovery_probability_720h,128,0.9921875,0.0078125,0.976875,1.0075,1,1,1,1,1,1,0,1,0.9921875,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,positive_demand_hours,128,4.125,1.03232689537,2.10163928508,6.14836071492,0,0,0,3,7,19.95,0,73,0.4296875,0,0
