cell_order,cell_identifier,shock,portfolio,family,metric,applicable_replication_count,not_applicable_replication_count,invalid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,WBTC,exposure_normalised_backlog,128,0,0,0.0260200391069,0.0102970375038,0.00583784559944,0.0462022326144,0,0,0,0,0.030669974137,0.101609508051,0,0.908289302931,0.2109375
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,WBTC,exposure_normalised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,WBTC,contribution_to_system_backlog,69,59,0,0.0821291124497,0.0234200784887,0.036225758612,0.128032466288,0,0,0,0.0653130609774,0.211187334395,0.47070941586,0,1,0.391304347826
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,WBTC,contribution_to_system_bad_debt,0,128,0,,,,,,,,,,,,,
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,WBTC,displaced_candidates,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,initial_debt_exposure,128,0,0,1250000,1.42625838597e-11,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,unsafe_vault_count,128,0,0,3.953125,0.874357143981,2.2393849978,5.6668650022,0,0,0,3.25,10,17.55,0,70,0.421875
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,liquidation_arrivals,128,0,0,7.5078125,2.0978169924,3.39609119491,11.6195338051,0,0,0,4,12.3,36.15,0,159,0.4140625
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,selected_attempts,128,0,0,7.5078125,2.0978169924,3.39609119491,11.6195338051,0,0,0,4,12.3,36.15,0,159,0.4140625
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,capacity_rejections,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,successful_closures,128,0,0,3.4921875,0.776674284758,1.96990590187,5.01446909813,0,0,0,3,9.3,13,0,61,0.4140625
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,liquidated_debt,128,0,0,17865.2892408,5725.27334872,6643.75347733,29086.8250043,0,0,0,1939.46818331,26393.9220141,96764.2559126,0,455959.984458,0.4140625
