shock,left_portfolio,right_portfolio,contrast,metric,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_left_one_right_zero,discordant_left_zero_right_one
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,unresolved_tab_share,128,-1.4244724572e-06,1.4244724572e-06,-4.2164384733e-06,1.36749355891e-06,0,0,0,0,0,0,-0.000182332474521,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,backlog_area_share,128,-0.0304754097203,0.00916457409956,-0.0484379749554,-0.0125128444851,-0.000169758410449,-0.165749242105,-0.010809328317,0,0,0,-0.78348504869,0.118588532216,0.046875,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,liquidated_debt_share,128,-0.0213142392219,0.00471567515921,-0.030556962534,-0.0120715159099,-0.000513155130066,-0.14732791879,-0.00849494054697,0,0,0,-0.250819744142,0.0498858766016,0.0390625,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,debt_weighted_liquidated_vault_share,128,-0.0213142392219,0.00471567515921,-0.030556962534,-0.0120715159099,-0.000513155130066,-0.14732791879,-0.00849494054697,0,0,0,-0.250819744142,0.0498858766016,0.0390625,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,successful_closure_count,128,-6.9453125,1.06415217733,-9.03105076757,-4.85957423243,-1,-34.3,-10,0,0,0,-58,12,0.015625,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,capacity_rejected_opportunities,128,-0.140625,0.140625,-0.41625,0.135,0,0,0,0,0,0,-18,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,realised_bad_debt_share,128,-6.13959888812e-23,6.13959888812e-23,-1.81732127088e-22,5.89401493259e-23,0,0,0,0,0,0,-7.85868657679e-21,0,0,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,unresolved_tab_share,128,-1.42455023261e-05,1.33817724438e-05,-4.04737763159e-05,1.19827716637e-05,0,0,0,0,0,0,-0.00171000070557,0,0,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,backlog_area_share,128,-0.0109195357785,0.00712378236824,-0.0248821492202,0.00304307766326,0,-0.0727356948037,-0.00174635442489,0,0.00432911209145,0.0227870878387,-0.667906964924,0.302120078887,0.1796875,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,liquidated_debt_share,128,-0.0103847918705,0.00312725802588,-0.0165142176013,-0.00425536613979,0,-0.0782700771822,-0.00222029383858,0,0.0010227751155,0.00548692963354,-0.221137768482,0.0896473839416,0.171875,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,debt_weighted_liquidated_vault_share,128,-0.0103847918705,0.00312725802588,-0.0165142176013,-0.00425536613979,0,-0.0782700771822,-0.00222029383858,0,0.0010227751155,0.00548692963354,-0.221137768482,0.0896473839416,0.171875,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,successful_closure_count,128,-3.3359375,0.781906404855,-4.86847405352,-1.80340094648,0,-27,-3,0,2,5,-39,12,0.1640625,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,capacity_rejected_opportunities,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
