programme_order,experiment_identifier,research_question_identifiers,hypothesis_identifiers,cell_order,cell_identifier,portfolio_identifier,shock_identifier,capacity_profile_identifier,maximum_liquidations_per_step,confidence_scenario_identifier,hurdle_profile_identifier,risk_cost_rate,oracle_treatment_identifier,oracle_delay_steps,replication_count,execution_status,row_checksum
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,3,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_high,empirical_crypto,joint_crypto_high_correlation,shared_keeper_capacity_high,45,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,b1ba98d03359d1adce0187211462ae6caaf29c9667c9f1ca6bf6c15d2e191c0f
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,4,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_low,stable_supported,joint_crypto_stable_stress,shared_keeper_capacity_low,14,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,cfbeeb8252b5ea953f3808d2db52a7ea2f0b995971c72b872d5c69f7cfba2602
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,daf856fcd2180197a22a31b406a893390084316612092ae0606debfcb4e010c7
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported,joint_crypto_stable_stress,shared_keeper_capacity_high,45,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,e7ab6e7e6ca7be2c3467d4764d797be209ffd531c2256a13a11aeb2f906fc2c9
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy,joint_crypto_stable_stress,shared_keeper_capacity_low,14,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,cea91dab3be14741ba3dfb2f273a81fb916a9a3a7076d4521b613bbb161bf2e5
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,8,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_central,stable_heavy,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,9d409ee598738144ebab8465709d5bae3b427f272fbef841d7d4a4d8cec86bbd
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,9,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_high,stable_heavy,joint_crypto_stable_stress,shared_keeper_capacity_high,45,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,e1fa955384d99d03c001157864810efece3b09113c37d29834bce6cd0bfa76a2
5,E_oracle_delay,RQ2,H2,1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,oracle_delay_low,,128,preregistered_blocked_pending_oracle_delay_freeze,89e8a346632061e9ed102e46de23df6e485645c25ebcf7afa56608f5cfa6dac3
5,E_oracle_delay,RQ2,H2,2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,oracle_delay_central,,128,preregistered_blocked_pending_oracle_delay_freeze,3c5b57ec2ac3a79b9b681b9755cfe4ecb4e1539d1e59229e387d19d16528d458
5,E_oracle_delay,RQ2,H2,3,joint_crypto_high_correlation__empirical_crypto__oracle_delay_high,empirical_crypto,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,oracle_delay_high,,128,preregistered_blocked_pending_oracle_delay_freeze,94702453e785bb9166b2593937a42a3c9545e7f3026464ac6f4141888cf336be
5,E_oracle_delay,RQ2,H2,4,joint_crypto_stable_stress__stable_supported__oracle_delay_low,stable_supported,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,oracle_delay_low,,128,preregistered_blocked_pending_oracle_delay_freeze,df8f1b2693fffb0e46330c64d654f013ed1ad4332c7322895f536da1ff559a96
5,E_oracle_delay,RQ2,H2,5,joint_crypto_stable_stress__stable_supported__oracle_delay_central,stable_supported,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,oracle_delay_central,,128,preregistered_blocked_pending_oracle_delay_freeze,ca13d211571c23492b60a9d8dfdf5ef6993bcdad1f2bf46f68f7cf2ef435d6f8
5,E_oracle_delay,RQ2,H2,6,joint_crypto_stable_stress__stable_supported__oracle_delay_high,stable_supported,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,oracle_delay_high,,128,preregistered_blocked_pending_oracle_delay_freeze,e36be5c723367ecb34f1ed813f3a0ce68976509963bf8d4b69296fe8f69ff577
